pair,branch,Mantel,Mantel p,Procrustes similarity,coupling_strength
BAC↔ITS,presence/absence,0.5972515497305896,0.001,0.568807680899146,0.5830296153148677
EUK↔ITS,presence/absence,0.4380918141808562,0.001,0.6629343315803914,0.5505130728806238
EUK↔ITS,CLR,0.4091389447949679,0.001,0.689726883552872,0.5494329141739199
AMF↔ITS,CLR,0.5559547299901196,0.001,0.4153291575921812,0.4856419437911504
AMF↔ITS,presence/absence,0.4599019531640635,0.001,0.4451878924988156,0.4525449228314395
AMF↔EUK,CLR,0.4784159985775476,0.001,0.4091926002297905,0.443804299403669
BAC↔ITS,CLR,0.3161326568500998,0.001,0.5519487876546951,0.4340407222523974
BAC↔EUK,CLR,0.2619631693164172,0.001,0.5654762253483514,0.4137196973323843
AMF↔EUK,presence/absence,0.4470239741364112,0.001,0.374156238855148,0.4105901064957796
BAC↔EUK,presence/absence,0.2014037712714188,0.001,0.5501820680081391,0.3757929196397789
BAC↔AMF,presence/absence,0.3870894668996215,0.001,0.3451877708390781,0.3661386188693498
BAC↔AMF,CLR,0.264602722688988,0.001,0.3416919697931876,0.3031473462410878
