pair,branch,dbRDA adjusted R²,top predictor,pH contribution,geography sensitivity delta
BAC↔ITS,presence/absence,0.2646404896636699,pH_KCl,0.1408596973445124,0.0207671574686398
BAC↔AMF,CLR,0.2622083692996951,pH_KCl,0.153082290674888,0.0086137557749573
BAC↔ITS,CLR,0.2595638030617334,pH_KCl,0.1408651441480792,0.0107370661187806
BAC↔EUK,presence/absence,0.2558902008392064,pH_KCl,0.1459774629781368,0.0147540570443067
BAC↔AMF,presence/absence,0.2520419050963178,pH_KCl,0.1407438679047516,0.0148387080550836
BAC↔EUK,CLR,0.244612089639336,pH_KCl,0.1443803780942405,0.0089620863595011
AMF↔ITS,presence/absence,0.2245441119679169,pH_KCl,0.1047738075432516,0.018676725783128
EUK↔ITS,presence/absence,0.2220302171250237,pH_KCl,0.1018123390220712,0.0218934527778388
AMF↔EUK,presence/absence,0.2055766102891452,pH_KCl,0.1054737213533654,0.0135167675160983
AMF↔ITS,CLR,0.1888761961680657,pH_KCl,0.0872469911055181,0.0110151753098677
EUK↔ITS,CLR,0.1776587763491131,pH_KCl,0.0893156089707983,0.0101633595184592
AMF↔EUK,CLR,0.1768188133783441,pH_KCl,0.1009293389215023,0.008824689912305
