pair,branch,hypothesis_id,hypothesis_name,adjusted_r2,delta_adjusted_r2_vs_base
AMF↔EUK,CLR,A,abiotic_base,0.1706534375433859,0.0
AMF↔EUK,CLR,B,abiotic_plus_alpha,0.1858571212625505,0.0152036837191645
AMF↔EUK,CLR,C,abiotic_plus_dark,0.169259944685304,-0.0013934928580818
AMF↔EUK,CLR,D,abiotic_plus_pool,0.1759727565631822,0.0053193190197963
AMF↔EUK,CLR,E,abiotic_plus_compl,0.1670196540954813,-0.0036337834479045
AMF↔EUK,CLR,F,abiotic_plus_alpha_dark,0.1806107006396743,0.0099572630962884
AMF↔EUK,CLR,G,abiotic_plus_pool_compl,0.176328017199751,0.005674579656365
AMF↔EUK,CLR,A,abiotic_base,0.1632043558031595,0.0
AMF↔EUK,CLR,B,abiotic_plus_alpha,0.1765392154666175,0.013334859663458
AMF↔EUK,CLR,C,abiotic_plus_dark,0.163036184956946,-0.0001681708462134
AMF↔EUK,CLR,D,abiotic_plus_pool,0.1689935438827295,0.00578918807957
AMF↔EUK,CLR,E,abiotic_plus_compl,0.1580880872150086,-0.0051162685881508
AMF↔EUK,CLR,F,abiotic_plus_alpha_dark,0.1725400223602676,0.0093356665571081
AMF↔EUK,CLR,G,abiotic_plus_pool_compl,0.1670828116177448,0.0038784558145853
AMF↔EUK,presence/absence,A,abiotic_base,0.1916206867426306,0.0
AMF↔EUK,presence/absence,B,abiotic_plus_alpha,0.2110961600594265,0.0194754733167958
AMF↔EUK,presence/absence,C,abiotic_plus_dark,0.1932382077788628,0.0016175210362321
AMF↔EUK,presence/absence,D,abiotic_plus_pool,0.2014117376023804,0.0097910508597497
AMF↔EUK,presence/absence,E,abiotic_plus_compl,0.1914976544705725,-0.0001230322720581
AMF↔EUK,presence/absence,F,abiotic_plus_alpha_dark,0.2069060582442025,0.0152853715015718
AMF↔EUK,presence/absence,G,abiotic_plus_pool_compl,0.2060838777060792,0.0144631909634486
AMF↔EUK,presence/absence,A,abiotic_base,0.1812770123334273,0.0
AMF↔EUK,presence/absence,B,abiotic_plus_alpha,0.1984367428249041,0.0171597304914767
AMF↔EUK,presence/absence,C,abiotic_plus_dark,0.1839129408446399,0.0026359285112126
AMF↔EUK,presence/absence,D,abiotic_plus_pool,0.1914913175965872,0.0102143052631599
