hypothesis_id,hypothesis_name,mean_delta_adjusted_r2,mean_adjusted_r2,overall_rank
B,abiotic_plus_alpha,0.011656078841804,0.2198594748436673,1.0
F,abiotic_plus_alpha_dark,0.0094143428261655,0.2176177388280288,2.0
D,abiotic_plus_pool,0.0075233499956666,0.21572674599753,3.0
G,abiotic_plus_pool_compl,0.0064320106434706,0.214635406645334,4.0
C,abiotic_plus_dark,0.0022765151045146,0.210479911106378,5.0
A,abiotic_base,0.0,0.2082033960018633,6.0
E,abiotic_plus_compl,-0.003713878555543,0.2044895174463201,7.0
C_vs_B,dark_vs_alpha,-0.0093795637372893,,
D_vs_B,pool_vs_alpha,-0.0041327288461373,,
E_vs_B,compl_vs_alpha,-0.0153699573973471,,
F_vs_B,alpha+dark_vs_alpha,-0.0022417360156385,,
G_vs_D,pool+compl_vs_pool,-0.0010913393521959,,
