pair,branch,Mantel,Mantel p,Mantel CI if available,ci_low,ci_high
BAC↔ITS,presence/absence,0.5972515497305896,0.001,"[0.513, 0.713]",0.513,0.713
EUK↔ITS,presence/absence,0.4380918141808562,0.001,"[0.368, 0.588]",0.368,0.588
EUK↔ITS,CLR,0.4091389447949679,0.001,"[0.277, 0.693]",0.277,0.693
AMF↔ITS,CLR,0.5559547299901196,0.001,"[0.339, 0.646]",0.339,0.646
AMF↔ITS,presence/absence,0.4599019531640635,0.001,"[0.391, 0.596]",0.391,0.596
AMF↔EUK,CLR,0.4784159985775476,0.001,"[0.323, 0.604]",0.323,0.604
BAC↔ITS,CLR,0.3161326568500998,0.001,"[0.179, 0.618]",0.179,0.618
BAC↔EUK,CLR,0.2619631693164172,0.001,"[0.220, 0.545]",0.22,0.545
AMF↔EUK,presence/absence,0.4470239741364112,0.001,"[0.313, 0.597]",0.313,0.597
BAC↔EUK,presence/absence,0.2014037712714188,0.001,"[0.133, 0.407]",0.133,0.407
BAC↔AMF,presence/absence,0.3870894668996215,0.001,"[0.297, 0.513]",0.297,0.513
BAC↔AMF,CLR,0.264602722688988,0.001,"[0.095, 0.480]",0.095,0.48
