pair,branch,model_type,adjusted_r2,permutation_p
AMF↔EUK,CLR,geography_sensitivity,0.1768188133783441,0.001
AMF↔EUK,CLR,primary,0.167994123466039,0.001
AMF↔EUK,presence/absence,geography_sensitivity,0.2055766102891452,0.001
AMF↔EUK,presence/absence,primary,0.1920598427730468,0.001
AMF↔ITS,CLR,geography_sensitivity,0.1888761961680657,0.001
AMF↔ITS,CLR,primary,0.177861020858198,0.001
AMF↔ITS,presence/absence,geography_sensitivity,0.2245441119679169,0.001
AMF↔ITS,presence/absence,primary,0.2058673861847888,0.001
BAC↔AMF,CLR,geography_sensitivity,0.2622083692996951,0.001
BAC↔AMF,CLR,primary,0.2535946135247378,0.001
BAC↔AMF,presence/absence,geography_sensitivity,0.2520419050963178,0.001
BAC↔AMF,presence/absence,primary,0.2372031970412342,0.001
BAC↔EUK,CLR,geography_sensitivity,0.244612089639336,0.001
BAC↔EUK,CLR,primary,0.2356500032798349,0.001
BAC↔EUK,presence/absence,geography_sensitivity,0.2558902008392064,0.001
BAC↔EUK,presence/absence,primary,0.2411361437948996,0.001
BAC↔ITS,CLR,geography_sensitivity,0.2595638030617334,0.001
BAC↔ITS,CLR,primary,0.2488267369429527,0.001
BAC↔ITS,presence/absence,geography_sensitivity,0.2646404896636699,0.001
BAC↔ITS,presence/absence,primary,0.24387333219503,0.001
EUK↔ITS,CLR,geography_sensitivity,0.1776587763491131,0.001
EUK↔ITS,CLR,primary,0.1674954168306539,0.001
EUK↔ITS,presence/absence,geography_sensitivity,0.2220302171250237,0.001
EUK↔ITS,presence/absence,primary,0.2001367643471849,0.001
