ref_id,title,authors,year,venue,citation_count,doi,url,source,topic,apa_reference,abstract_excerpt
REF001,"Unveiling the roles, mechanisms and prospects of soil microbial communities in sustainable agriculture",Kelvin Kiprotich; E. Muema; C. Wekesa; Tavasi S Ndombi; J. Muoma; D. Omayio; D. Ochieno; Hamond Motsi,2025,,51,10.1007/s44378-025-00037-4,https://www.semanticscholar.org/paper/6a8bfc731d1d328599bc402058144f934ac9794e,sentence_retry,,"Kelvin Kiprotich; E. Muema; C. Wekesa; Tavasi S Ndombi; J. Muoma; D. Omayio; D. Ochieno; Hamond Motsi (2025). Unveiling the roles, mechanisms and prospects of soil microbial communities in sustainable agriculture. https://doi.org/10.1007/s44378-025-00037-4","Soil hosts diverse microbial communities including bacteria, fungi, archaea, protozoans and nematodes among others, which are fundamental to sustainable agriculture and drive essential processes that underpin soil fertility, plant health, and ecosystem resilience. They promote plant growth through mechanisms like nitrogen fixation, phosphorus solubilization, production of growth-promoting substances, enhancement of nutrient uptake, improvement of soil structure and detoxification of harmful subs"
REF002,Coupling Bacterial Community Assembly to Microbial Metabolism across Soil Profiles,Lu Luan; C. Liang; Lijun Chen; Haotian Wang; Qinsong Xu; Yuji Jiang; Bo Sun,2020,,134,10.1128/mSystems.00298-20,https://www.semanticscholar.org/paper/4f1d56b6ab1a9a82f1f94a4303b79b6cd69992db,sentence_retry,,Lu Luan; C. Liang; Lijun Chen; Haotian Wang; Qinsong Xu; Yuji Jiang; Bo Sun (2020). Coupling Bacterial Community Assembly to Microbial Metabolism across Soil Profiles. https://doi.org/10.1128/mSystems.00298-20,We have provided a framework to better understand the mechanisms governing the balance between stochastic and deterministic processes and to integrate the shifts in community assembly processes with microbial carbon metabolism. Our study reinforced that environmental filtering and bacterial cooccurrence patterns influence the stochastic/deterministic continuum of soil bacterial community assembly and that stochasticity may act through deeper soil layers to influence carbon metabolism. Delineatin
REF003,Differential roles of deterministic and stochastic processes in structuring soil bacterial ecotypes across terrestrial ecosystems,Mia Riddley; Shannon Hepp; Fnu Hardeep; Aruj Nayak; Meimei Liu; Xin Xing; Hailong Zhang; Jingqiu Liao,2025,Nature Communications,82,10.1038/s41467-025-57526-x,https://www.semanticscholar.org/paper/2901cb626bba645b15c0b584e5e01833456f0246,sentence_work,,Mia Riddley; Shannon Hepp; Fnu Hardeep; Aruj Nayak; Meimei Liu; Xin Xing; Hailong Zhang; Jingqiu Liao (2025). Differential roles of deterministic and stochastic processes in structuring soil bacterial ecotypes across terrestrial ecosystems. Nature Communications. https://doi.org/10.1038/s41467-025-57526-x,"Soil bacteria are vital to ecosystem resilience and resistance, yet ecological attributes and the drivers governing their composition and distribution, especially for taxa varying in ecological traits and inhabiting different ecosystems, are not fully understood. Here, we analyzed a large-scale bacterial community and environmental dataset of 622 soil samples systematically collected by us from six major terrestrial ecosystems across the United States. We show that soil bacterial diversity and c"
REF004,Stochastic and deterministic processes drive wetland community assembly across a gradient of environmental filtering,Jody Daniel; J. Gleason; K. Cottenie; R. Rooney,2019,,64,10.1111/OIK.05987,https://www.semanticscholar.org/paper/4c05675d70c868b7cb9be6a05aa7d30b1ecc011e,sentence_retry,,Jody Daniel; J. Gleason; K. Cottenie; R. Rooney (2019). Stochastic and deterministic processes drive wetland community assembly across a gradient of environmental filtering. https://doi.org/10.1111/OIK.05987,"The role of deterministic and stochastic processes in community assembly is a key question in community ecology. We evaluated the effect of an abiotic filter (hydroperiod) on the partitioned diversity of three taxonomic groups (birds, vegetation, macroinvertebrates) from prairie pothole wetlands in Alberta, Canada, which naturally vary in water permanence. We observed that alpha and gamma diversity were higher in permanent than temporary wetlands (16–25% and 34–47% respectively, depending on the"
REF005,Environmental stress mediates groundwater microbial community assembly,D. Ning; Yajiao Wang; Yupeng Fan; Jianjun Wang; J. V. Van Nostrand; Liyou Wu; Ping Zhang; D. J. Curtis,2024,Nature Microbiology,181,10.1038/s41564-023-01573-x,https://www.semanticscholar.org/paper/fbac0a55ec3d64eff9bfafbc04957df93516e31a,sentence_work,,D. Ning; Yajiao Wang; Yupeng Fan; Jianjun Wang; J. V. Van Nostrand; Liyou Wu; Ping Zhang; D. J. Curtis (2024). Environmental stress mediates groundwater microbial community assembly. Nature Microbiology. https://doi.org/10.1038/s41564-023-01573-x,
REF006,Environmental heterogeneity and dispersal limitation simultaneously determine the spatial scaling of different microbial functional groups.,Yueyue Li; Kai Ma; Wen Song; Jiayin Zhou; Xia Liu; Mengqi Wang; Qichao Tu,2023,Science of the Total Environment,13,10.1016/j.scitotenv.2023.163854,https://www.semanticscholar.org/paper/9361847eb43aaec3e25fb5af578cb6fa5e26d4f7,sentence_work,,Yueyue Li; Kai Ma; Wen Song; Jiayin Zhou; Xia Liu; Mengqi Wang; Qichao Tu (2023). Environmental heterogeneity and dispersal limitation simultaneously determine the spatial scaling of different microbial functional groups.. Science of the Total Environment. https://doi.org/10.1016/j.scitotenv.2023.163854,"Uncovering the mechanisms driving patterns of diversity across space and through time is of critical importance in microbial community ecology. Previous studies suggest that microorganisms also follow the same spatial scaling patterns as macro-organisms. However, it remains unclear whether different microbial functional groups differ in spatial scaling and how different ecological processes may contribute to such differences. In this study, two typical spatial scaling patterns, taxa-area (TAR) a"
REF007,Fungal Lactamases: Their Occurrence and Function,Minglu Gao; A. Glenn; A. Blacutt; S. Gold,2017,,40,10.3389/fmicb.2017.01775,https://www.semanticscholar.org/paper/247cd9a497181a92e7f105cb76e4dc4200177f48,sentence_retry,,Minglu Gao; A. Glenn; A. Blacutt; S. Gold (2017). Fungal Lactamases: Their Occurrence and Function. https://doi.org/10.3389/fmicb.2017.01775,"Fungi are absorptive feeders and thus must colonize and ramify through their substrate to survive. In so doing they are in competition, particularly in the soil, with myriad microbes. These microbes use xenobiotic compounds as offensive weapons to compete for nutrition, and fungi must be sufficiently resistant to these xenobiotics. One prominent mechanism of xenobiotic resistance is through production of corresponding degrading enzymes. As typical examples, bacterial β-lactamases are well known "
REF008,Mechanisms and implications of bacterial–fungal competition for soil resources,Chaoqun Wang; Y. Kuzyakov,2024,The ISME Journal,474,10.1093/ismejo/wrae073,https://www.semanticscholar.org/paper/546abd7b341a1b2c2a307dcde7aea2f09a5cb4d4,topic_search,bacterial-fungal interactions,Chaoqun Wang; Y. Kuzyakov (2024). Mechanisms and implications of bacterial–fungal competition for soil resources. The ISME Journal. https://doi.org/10.1093/ismejo/wrae073,"Abstract Elucidating complex interactions between bacteria and fungi that determine microbial community structure, composition, and functions in soil, as well as regulate carbon (C) and nutrient fluxes, is crucial to understand biogeochemical cycles. Among the various interactions, competition for resources is the main factor determining the adaptation and niche differentiation between these two big microbial groups in soil. This is because C and energy limitations for microbial growth are a rul"
REF009,Root biomass and exudates link plant diversity with soil bacterial and fungal biomass,N. Eisenhauer; A. Lanoue; Tanja Strecker; S. Scheu; Katja Steinauer; M. Thakur; L. Mommer,2017,,430,10.1038/srep44641,https://www.semanticscholar.org/paper/ecf22c2e3d2ce584f9dce1800c0158454f1cf418,sentence_retry,,N. Eisenhauer; A. Lanoue; Tanja Strecker; S. Scheu; Katja Steinauer; M. Thakur; L. Mommer (2017). Root biomass and exudates link plant diversity with soil bacterial and fungal biomass. https://doi.org/10.1038/srep44641,"Plant diversity has been shown to determine the composition and functioning of soil biota. Although root-derived organic inputs are discussed as the main drivers of soil communities, experimental evidence is scarce. While there is some evidence that higher root biomass at high plant diversity increases substrate availability for soil biota, several studies have speculated that the quantity and diversity of root inputs into the soil, i.e. though root exudates, drive plant diversity effects on soi"
REF010,"Microbial colonisation rewires the composition and content of poplar root exudates, root and shoot metabolomes",F. Fracchia; F. Guinet; N. Engle; T. Tschaplinski; C. Veneault-Fourrey; A. Deveau,2024,,50,10.1186/s40168-024-01888-9,https://www.semanticscholar.org/paper/9b4562426531ad05a8451b1acb876e8c68945c91,sentence_retry,,"F. Fracchia; F. Guinet; N. Engle; T. Tschaplinski; C. Veneault-Fourrey; A. Deveau (2024). Microbial colonisation rewires the composition and content of poplar root exudates, root and shoot metabolomes. https://doi.org/10.1186/s40168-024-01888-9","Trees are associated with a broad range of microorganisms colonising the diverse tissues of their host. However, the early dynamics of the microbiota assembly microbiota from the root to shoot axis and how it is linked to root exudates and metabolite contents of tissues remain unclear. Here, we characterised how fungal and bacterial communities are altering root exudates as well as root and shoot metabolomes in parallel with their establishment in poplar cuttings (Populus tremula x tremuloides c"
