combo_index,pair,domain_1,domain_2,branch,threshold
0,BAC↔AMF,BAC,AMF,presence/absence,0.05
1,BAC↔AMF,BAC,AMF,presence/absence,0.1
2,BAC↔AMF,BAC,AMF,CLR,0.05
3,BAC↔AMF,BAC,AMF,CLR,0.1
4,BAC↔ITS,BAC,ITS,presence/absence,0.05
5,BAC↔ITS,BAC,ITS,presence/absence,0.1
6,BAC↔ITS,BAC,ITS,CLR,0.05
7,BAC↔ITS,BAC,ITS,CLR,0.1
8,BAC↔EUK,BAC,EUK,presence/absence,0.05
9,BAC↔EUK,BAC,EUK,presence/absence,0.1
10,BAC↔EUK,BAC,EUK,CLR,0.05
11,BAC↔EUK,BAC,EUK,CLR,0.1
12,AMF↔ITS,AMF,ITS,presence/absence,0.05
13,AMF↔ITS,AMF,ITS,presence/absence,0.1
14,AMF↔ITS,AMF,ITS,CLR,0.05
15,AMF↔ITS,AMF,ITS,CLR,0.1
16,AMF↔EUK,AMF,EUK,presence/absence,0.05
17,AMF↔EUK,AMF,EUK,presence/absence,0.1
18,AMF↔EUK,AMF,EUK,CLR,0.05
19,AMF↔EUK,AMF,EUK,CLR,0.1
20,EUK↔ITS,EUK,ITS,presence/absence,0.05
21,EUK↔ITS,EUK,ITS,presence/absence,0.1
22,EUK↔ITS,EUK,ITS,CLR,0.05
23,EUK↔ITS,EUK,ITS,CLR,0.1
