record_type,combo_index,pair,branch,threshold,model_scope,hypothesis_id,hypothesis_name,seed,n_samples,n_features_domain1,n_features_domain2,n_predictors,predictor_set,r2,adjusted_r2,pseudo_f,permutation_p,permutations,predictor,full_r2,reduced_r2,delta_r2,full_adj_r2,reduced_adj_r2,delta_adj_r2,baseline_adjusted_r2,delta_adjusted_r2_vs_base
model_summary,1,BAC↔ITS,CLR,0.05,primary,A,abiotic_base,20280614,84,16561,1286,3,"pH_KCl,N_pct,bio12now.100",0.2924149661742034,0.265880527405736,11.02020542909313,0.002,499,,,,,,,,0.265880527405736,0.0
predictor_effect,1,BAC↔ITS,CLR,0.05,primary,A,abiotic_base,20280614,84,16561,1286,3,"pH_KCl,N_pct,bio12now.100",0.2924149661742034,0.265880527405736,11.02020542909313,0.002,499,pH_KCl,0.2924149661742034,0.11976599729261428,0.1726489688815891,0.265880527405736,0.09803182438625901,0.16784870301947696,0.265880527405736,0.0
predictor_effect,1,BAC↔ITS,CLR,0.05,primary,A,abiotic_base,20280614,84,16561,1286,3,"pH_KCl,N_pct,bio12now.100",0.2924149661742034,0.265880527405736,11.02020542909313,0.002,499,N_pct,0.2924149661742034,0.2618120648777127,0.03060290129649068,0.265880527405736,0.24358520228210068,0.0222953251236353,0.265880527405736,0.0
predictor_effect,1,BAC↔ITS,CLR,0.05,primary,A,abiotic_base,20280614,84,16561,1286,3,"pH_KCl,N_pct,bio12now.100",0.2924149661742034,0.265880527405736,11.02020542909313,0.002,499,bio12now.100,0.2924149661742034,0.27174666147261395,0.020668304701589424,0.265880527405736,0.2537650975583575,0.012115429847378456,0.265880527405736,0.0
model_summary,1,BAC↔ITS,CLR,0.05,primary,B,abiotic_plus_alpha,20280615,84,16561,1286,4,"pH_KCl,N_pct,bio12now.100,alpha",0.30823020318616645,0.27320388436014953,8.799959959172726,0.002,499,,,,,,,,0.265880527405736,0.007323356954413551
predictor_effect,1,BAC↔ITS,CLR,0.05,primary,B,abiotic_plus_alpha,20280615,84,16561,1286,4,"pH_KCl,N_pct,bio12now.100,alpha",0.30823020318616645,0.27320388436014953,8.799959959172726,0.002,499,pH_KCl,0.30823020318616645,0.15830849708972383,0.14992170609644262,0.27320388436014953,0.1267450657305884,0.14645881862956112,0.265880527405736,0.007323356954413551
predictor_effect,1,BAC↔ITS,CLR,0.05,primary,B,abiotic_plus_alpha,20280615,84,16561,1286,4,"pH_KCl,N_pct,bio12now.100,alpha",0.30823020318616645,0.27320388436014953,8.799959959172726,0.002,499,N_pct,0.30823020318616645,0.27814618755935117,0.030084015626815286,0.27320388436014953,0.2510766695928268,0.02212721476732271,0.265880527405736,0.007323356954413551
predictor_effect,1,BAC↔ITS,CLR,0.05,primary,B,abiotic_plus_alpha,20280615,84,16561,1286,4,"pH_KCl,N_pct,bio12now.100,alpha",0.30823020318616645,0.27320388436014953,8.799959959172726,0.002,499,bio12now.100,0.30823020318616645,0.2898378100625977,0.018392393123568773,0.27320388436014953,0.26320672793994515,0.009997156420204378,0.265880527405736,0.007323356954413551
predictor_effect,1,BAC↔ITS,CLR,0.05,primary,B,abiotic_plus_alpha,20280615,84,16561,1286,4,"pH_KCl,N_pct,bio12now.100,alpha",0.30823020318616645,0.27320388436014953,8.799959959172726,0.002,499,alpha,0.30823020318616645,0.2924149661742034,0.01581523701196308,0.27320388436014953,0.265880527405736,0.007323356954413551,0.265880527405736,0.007323356954413551
model_summary,1,BAC↔ITS,CLR,0.05,primary,C,abiotic_plus_dark,20280616,84,16561,1286,4,"pH_KCl,N_pct,bio12now.100,dark",0.3030781455574736,0.2677909630540546,8.588901806714311,0.002,499,,,,,,,,0.265880527405736,0.0019104356483186091
predictor_effect,1,BAC↔ITS,CLR,0.05,primary,C,abiotic_plus_dark,20280616,84,16561,1286,4,"pH_KCl,N_pct,bio12now.100,dark",0.3030781455574736,0.2677909630540546,8.588901806714311,0.002,499,pH_KCl,0.3030781455574736,0.13756402283060976,0.16551412272686383,0.2677909630540546,0.10522267368675764,0.16256828936729695,0.265880527405736,0.0019104356483186091
predictor_effect,1,BAC↔ITS,CLR,0.05,primary,C,abiotic_plus_dark,20280616,84,16561,1286,4,"pH_KCl,N_pct,bio12now.100,dark",0.3030781455574736,0.2677909630540546,8.588901806714311,0.002,499,N_pct,0.3030781455574736,0.27409247620584143,0.02898566935163216,0.2677909630540546,0.24687094406356047,0.020920018990494116,0.265880527405736,0.0019104356483186091
predictor_effect,1,BAC↔ITS,CLR,0.05,primary,C,abiotic_plus_dark,20280616,84,16561,1286,4,"pH_KCl,N_pct,bio12now.100,dark",0.3030781455574736,0.2677909630540546,8.588901806714311,0.002,499,bio12now.100,0.3030781455574736,0.284311164018649,0.018766981538824612,0.2677909630540546,0.2574728326693483,0.010318130384706303,0.265880527405736,0.0019104356483186091
predictor_effect,1,BAC↔ITS,CLR,0.05,primary,C,abiotic_plus_dark,20280616,84,16561,1286,4,"pH_KCl,N_pct,bio12now.100,dark",0.3030781455574736,0.2677909630540546,8.588901806714311,0.002,499,dark,0.3030781455574736,0.2924149661742034,0.010663179383270216,0.2677909630540546,0.265880527405736,0.0019104356483186091,0.265880527405736,0.0019104356483186091
model_summary,1,BAC↔ITS,CLR,0.05,primary,D,abiotic_plus_pool,20280617,84,16561,1286,4,"pH_KCl,N_pct,bio12now.100,pool",0.30611374950060244,0.2709802684626583,8.712878441222474,0.002,499,,,,,,,,0.265880527405736,0.005099741056922347
predictor_effect,1,BAC↔ITS,CLR,0.05,primary,D,abiotic_plus_pool,20280617,84,16561,1286,4,"pH_KCl,N_pct,bio12now.100,pool",0.30611374950060244,0.2709802684626583,8.712878441222474,0.002,499,pH_KCl,0.30611374950060244,0.14854274205825058,0.15757100744235186,0.2709802684626583,0.11661309488543503,0.1543671735772233,0.265880527405736,0.005099741056922347
predictor_effect,1,BAC↔ITS,CLR,0.05,primary,D,abiotic_plus_pool,20280617,84,16561,1286,4,"pH_KCl,N_pct,bio12now.100,pool",0.30611374950060244,0.2709802684626583,8.712878441222474,0.002,499,N_pct,0.30611374950060244,0.2771945672187902,0.028919182281812228,0.2709802684626583,0.25008936348949484,0.020890904973163482,0.265880527405736,0.005099741056922347
predictor_effect,1,BAC↔ITS,CLR,0.05,primary,D,abiotic_plus_pool,20280617,84,16561,1286,4,"pH_KCl,N_pct,bio12now.100,pool",0.30611374950060244,0.2709802684626583,8.712878441222474,0.002,499,bio12now.100,0.30611374950060244,0.28806654756631545,0.018047201934286994,0.2709802684626583,0.26136904310005227,0.009611225362606057,0.265880527405736,0.005099741056922347
predictor_effect,1,BAC↔ITS,CLR,0.05,primary,D,abiotic_plus_pool,20280617,84,16561,1286,4,"pH_KCl,N_pct,bio12now.100,pool",0.30611374950060244,0.2709802684626583,8.712878441222474,0.002,499,pool,0.30611374950060244,0.2924149661742034,0.013698783326399067,0.2709802684626583,0.265880527405736,0.005099741056922347,0.265880527405736,0.005099741056922347
model_summary,1,BAC↔ITS,CLR,0.05,primary,E,abiotic_plus_compl,20280618,84,16561,1286,4,"pH_KCl,N_pct,bio12now.100,compl",0.2984102105215547,0.26288667687707645,8.400352665026594,0.002,499,,,,,,,,0.265880527405736,-0.002993850528659525
predictor_effect,1,BAC↔ITS,CLR,0.05,primary,E,abiotic_plus_compl,20280618,84,16561,1286,4,"pH_KCl,N_pct,bio12now.100,compl",0.2984102105215547,0.26288667687707645,8.400352665026594,0.002,499,pH_KCl,0.2984102105215547,0.13374343154500745,0.16466677897654725,0.26288667687707645,0.10125881022794514,0.1616278666491313,0.265880527405736,-0.002993850528659525
predictor_effect,1,BAC↔ITS,CLR,0.05,primary,E,abiotic_plus_compl,20280618,84,16561,1286,4,"pH_KCl,N_pct,bio12now.100,compl",0.2984102105215547,0.26288667687707645,8.400352665026594,0.002,499,N_pct,0.2984102105215547,0.26796000287038324,0.030450207651171457,0.26288667687707645,0.24050850297802262,0.022378173899053833,0.265880527405736,-0.002993850528659525
predictor_effect,1,BAC↔ITS,CLR,0.05,primary,E,abiotic_plus_compl,20280618,84,16561,1286,4,"pH_KCl,N_pct,bio12now.100,compl",0.2984102105215547,0.26288667687707645,8.400352665026594,0.002,499,bio12now.100,0.2984102105215547,0.2778090260641287,0.02060118445742598,0.26288667687707645,0.2507268645415335,0.012159812335542974,0.265880527405736,-0.002993850528659525
predictor_effect,1,BAC↔ITS,CLR,0.05,primary,E,abiotic_plus_compl,20280618,84,16561,1286,4,"pH_KCl,N_pct,bio12now.100,compl",0.2984102105215547,0.26288667687707645,8.400352665026594,0.002,499,compl,0.2984102105215547,0.2924149661742034,0.005995244347351325,0.26288667687707645,0.265880527405736,-0.002993850528659525,0.265880527405736,-0.002993850528659525
model_summary,1,BAC↔ITS,CLR,0.05,primary,F,abiotic_plus_alpha_dark,20280619,84,16561,1286,5,"pH_KCl,N_pct,bio12now.100,alpha,dark",0.31608370017602927,0.27224291172577475,7.209808750011067,0.002,499,,,,,,,,0.265880527405736,0.006362384320038772
predictor_effect,1,BAC↔ITS,CLR,0.05,primary,F,abiotic_plus_alpha_dark,20280619,84,16561,1286,5,"pH_KCl,N_pct,bio12now.100,alpha,dark",0.31608370017602927,0.27224291172577475,7.209808750011067,0.002,499,pH_KCl,0.31608370017602927,0.16524835797553383,0.15083534220049544,0.27224291172577475,0.1229824520502445,0.14926045967553025,0.265880527405736,0.006362384320038772
predictor_effect,1,BAC↔ITS,CLR,0.05,primary,F,abiotic_plus_alpha_dark,20280619,84,16561,1286,5,"pH_KCl,N_pct,bio12now.100,alpha,dark",0.31608370017602927,0.27224291172577475,7.209808750011067,0.002,499,N_pct,0.31608370017602927,0.2868066664547573,0.029277033721271994,0.27224291172577475,0.25069561159170706,0.021547300134067693,0.265880527405736,0.006362384320038772
predictor_effect,1,BAC↔ITS,CLR,0.05,primary,F,abiotic_plus_alpha_dark,20280619,84,16561,1286,5,"pH_KCl,N_pct,bio12now.100,alpha,dark",0.31608370017602927,0.27224291172577475,7.209808750011067,0.002,499,bio12now.100,0.31608370017602927,0.2982177448622523,0.017865955313776993,0.27224291172577475,0.2626844661211005,0.009558445604674226,0.265880527405736,0.006362384320038772
predictor_effect,1,BAC↔ITS,CLR,0.05,primary,F,abiotic_plus_alpha_dark,20280619,84,16561,1286,5,"pH_KCl,N_pct,bio12now.100,alpha,dark",0.31608370017602927,0.27224291172577475,7.209808750011067,0.002,499,alpha,0.31608370017602927,0.3030781455574736,0.013005554618555681,0.27224291172577475,0.2677909630540546,0.004451948671720163,0.265880527405736,0.006362384320038772
predictor_effect,1,BAC↔ITS,CLR,0.05,primary,F,abiotic_plus_alpha_dark,20280619,84,16561,1286,5,"pH_KCl,N_pct,bio12now.100,alpha,dark",0.31608370017602927,0.27224291172577475,7.209808750011067,0.002,499,dark,0.31608370017602927,0.30823020318616645,0.007853496989862818,0.27224291172577475,0.27320388436014953,-0.0009609726343747793,0.265880527405736,0.006362384320038772
model_summary,1,BAC↔ITS,CLR,0.05,primary,G,abiotic_plus_pool_compl,20280620,84,16561,1286,5,"pH_KCl,N_pct,bio12now.100,pool,compl",0.3135835696006286,0.2695825163698996,7.126728716157908,0.002,499,,,,,,,,0.265880527405736,0.003701988964163627
predictor_effect,1,BAC↔ITS,CLR,0.05,primary,G,abiotic_plus_pool_compl,20280620,84,16561,1286,5,"pH_KCl,N_pct,bio12now.100,pool,compl",0.3135835696006286,0.2695825163698996,7.126728716157908,0.002,499,pH_KCl,0.3135835696006286,0.16617551202302572,0.1474080575776029,0.2695825163698996,0.12395655060647004,0.14562596576342957,0.265880527405736,0.003701988964163627
predictor_effect,1,BAC↔ITS,CLR,0.05,primary,G,abiotic_plus_pool_compl,20280620,84,16561,1286,5,"pH_KCl,N_pct,bio12now.100,pool,compl",0.3135835696006286,0.2695825163698996,7.126728716157908,0.002,499,N_pct,0.3135835696006286,0.2848373200560649,0.02874624954456373,0.2695825163698996,0.24862655145130863,0.020955964918590975,0.265880527405736,0.003701988964163627
predictor_effect,1,BAC↔ITS,CLR,0.05,primary,G,abiotic_plus_pool_compl,20280620,84,16561,1286,5,"pH_KCl,N_pct,bio12now.100,pool,compl",0.3135835696006286,0.2695825163698996,7.126728716157908,0.002,499,bio12now.100,0.3135835696006286,0.29547725797186275,0.01810631162876586,0.2695825163698996,0.25980522040081777,0.009777295969081834,0.265880527405736,0.003701988964163627
predictor_effect,1,BAC↔ITS,CLR,0.05,primary,G,abiotic_plus_pool_compl,20280620,84,16561,1286,5,"pH_KCl,N_pct,bio12now.100,pool,compl",0.3135835696006286,0.2695825163698996,7.126728716157908,0.002,499,pool,0.3135835696006286,0.2984102105215547,0.015173359079073911,0.2695825163698996,0.26288667687707645,0.006695839492823152,0.265880527405736,0.003701988964163627
predictor_effect,1,BAC↔ITS,CLR,0.05,primary,G,abiotic_plus_pool_compl,20280620,84,16561,1286,5,"pH_KCl,N_pct,bio12now.100,pool,compl",0.3135835696006286,0.2695825163698996,7.126728716157908,0.002,499,compl,0.3135835696006286,0.30611374950060244,0.00746982010002617,0.2695825163698996,0.2709802684626583,-0.0013977520927587195,0.265880527405736,0.003701988964163627
