dataset_a,dataset_b,overlap_n,jaccard
META,META,99,1.0
META,AMF,89,0.6846153846153846
META,BAC,98,0.6950354609929078
META,EUK,95,0.6834532374100719
META,ITS,98,0.7
AMF,META,89,0.6846153846153846
AMF,AMF,120,1.0
AMF,BAC,117,0.8181818181818182
AMF,EUK,114,0.8085106382978723
AMF,ITS,117,0.823943661971831
BAC,META,98,0.6950354609929078
BAC,AMF,117,0.8181818181818182
BAC,BAC,140,1.0
BAC,EUK,135,0.9642857142857143
BAC,ITS,137,0.9647887323943662
EUK,META,95,0.6834532374100719
EUK,AMF,114,0.8085106382978723
EUK,BAC,135,0.9642857142857143
EUK,EUK,135,1.0
EUK,ITS,132,0.9295774647887324
ITS,META,98,0.7
ITS,AMF,117,0.823943661971831
ITS,BAC,137,0.9647887323943662
ITS,EUK,132,0.9295774647887324
ITS,ITS,139,1.0
