sample_id,in_META,in_AMF,in_BAC,in_EUK,in_ITS,n_datasets_present,full_overlap,region,site.id,compl,dark,compl.perc
D009.N1,True,True,True,True,True,5,True,D009,D009,-0.733477491,58.30465881,32.44320803
D010.N1,True,True,True,True,True,5,True,D010,D010,-0.470518577,100.8519201,38.44935107
D016.N1,True,False,True,True,True,4,False,D016,D016,-0.169055072,59.20926765,45.78366019
D017.N1,True,True,True,True,True,5,True,D017,D017,-1.589508806,137.2375432,16.94530157
D018.N1,True,True,True,True,True,5,True,D018,D018,-0.932739865,106.7414424,28.2369186
D018.N2,False,True,True,True,False,3,False,,,,,
D018.N3,False,False,True,True,True,3,False,,,,,
D019.N1,True,True,True,True,True,5,True,D019,D019,-1.312460017,52.01423062,21.20754854
D022.N1,True,True,True,True,True,5,True,D022,D022,-0.159915512,55.15035119,46.01061029
D022.N2,False,True,True,True,True,4,False,,,,,
D030.N1,True,True,True,True,True,5,True,D030,D030,-0.180048373,14.36730333,45.51091118
D031.N1,True,False,True,True,True,4,False,D031,D031,-0.517913778,53.71271118,37.33401914
D032.N1,True,False,True,True,True,4,False,D032,D032,-0.191826779,25.44067361,45.21898234
D033.N1,True,True,True,False,True,4,False,D033,D033,-1.62158573,50.61109509,16.49862948
D034.N1,False,False,True,True,True,3,False,,,,,
D034.N2,False,True,True,True,True,4,False,,,,,
D037.N1,True,True,True,True,True,5,True,D037,D037,-0.297076311,55.18263818,42.62723582
D038.N1,True,True,True,True,True,5,True,D038,D038,-0.541015821,17.17750904,36.7951308
D038.N2,False,False,True,False,True,2,False,,,,,
D039.N1,True,True,True,True,True,5,True,D039,D039,-0.9173051,50.05074415,28.55073168
D040.N1,True,True,True,True,True,5,True,D040,D040,0.01326884,40.45957093,50.33171613
D040.N2,False,True,True,True,True,4,False,,,,,
D040.N3,False,True,True,True,True,4,False,,,,,
D047.N1,True,False,True,True,True,4,False,D047,D047,-0.807118438,154.6593479,30.85048787
D051.N1,True,True,True,True,True,5,True,D051,D051,-0.794812685,108.4872856,31.11362279
D054.N1,True,True,True,True,True,5,True,D054,D054,-0.181915947,22.79075398,45.46460207
D056.N1,True,True,True,True,True,5,True,D056,D056,0.26219553,10.00168748,56.5175925
D060.N1,True,True,True,True,True,5,True,D060,D060,-0.623516954,48.5024102,34.89819984
D061.N1,True,True,True,True,True,5,True,D061,D061,-0.576287044,64.05909278,35.97873916
D062.N1,True,True,True,True,True,5,True,D062,D062,-1.934869129,62.30824164,12.62126199
D063.N1,True,True,True,True,True,5,True,D063,D063,-1.009326197,79.56879765,26.71117359
D064.N1,True,True,True,True,True,5,True,D064,D064,-1.026203611,72.55175352,26.38207751
D068.N1,False,True,True,True,True,4,False,,,,,
D068.N2,True,True,True,True,True,5,True,D068,D068,-1.132076547,133.3899326,24.37780851
D072.N1,False,False,True,True,False,2,False,,,,,
D072.N2,True,False,True,True,True,4,False,D072,D072,-2.253511115,123.77439,9.504703329
D076.N1,True,True,True,True,True,5,True,D076,D076,-0.154729647,12.84076556,46.13945794
D077.N1,True,True,True,True,True,5,True,D077,D077,-0.931813024,91.40790499,28.2557036
D081.N1,True,True,True,True,True,5,True,D081,D081,-0.851685521,74.99499846,29.90794006
D084.N1,True,True,True,True,True,5,True,D084,D084,-0.185572046,65.01097437,45.3739668
D084.N2,False,False,True,True,True,3,False,,,,,
D084.N3,False,False,True,True,True,3,False,,,,,
D085.N1,True,True,True,True,True,5,True,D085,D085,-1.21510871,77.5251908,22.8798372
D086.N1,True,True,True,True,True,5,True,D086,D086,-0.931648132,83.77676432,28.25904639
D088.N1,True,True,True,True,True,5,True,D088,D088,-1.125053625,49.28611246,24.50750917
D089.N1,True,True,True,False,True,4,False,D089,D089,-0.23027439,31.47363512,44.26844482
D091.N1,True,True,True,True,True,5,True,D091,D091,-0.569871728,42.43296593,36.12664234
D092.N1,True,True,True,True,True,5,True,D092,D092,-1.681464801,64.48105441,15.69016025
D093.N1,True,True,True,True,True,5,True,D093,D093,-0.488934014,73.37597044,38.01447188
D093.N2,False,True,False,False,False,1,False,,,,,
D093.N3,False,True,True,True,True,4,False,,,,,
D094.N1,False,False,True,True,True,3,False,,,,,
D094.N2,False,True,True,True,True,4,False,,,,,
D094.N3,True,False,True,True,True,4,False,D094,D094,-2.442582869,69.01627441,7.99826444
D095.N1,True,True,True,True,True,5,True,D095,D095,-2.361334495,169.6815114,8.616905301
D096.N1,True,True,True,True,True,5,True,D096,D096,-0.507725807,106.3365314,37.57268007
D097.N1,True,True,True,True,True,5,True,D097,D097,1.093321729,16.08487326,74.90067087
D098.N1,True,True,True,True,True,5,True,D098,D098,-0.956769957,96.32114504,27.75253692
D100.N1,True,True,True,True,True,5,True,D100,D100,-1.157561132,66.82542155,23.91107225
D100.N2,False,True,True,True,True,4,False,,,,,
D100.N3,False,True,True,True,True,4,False,,,,,
D101.N1,False,True,True,True,True,4,False,,,,,
D103.N1,True,False,True,True,True,4,False,D103,D103,-2.305962649,70.23682863,9.063033949
D104.N1,True,True,True,False,True,4,False,D104,D104,-1.232122306,71.99846096,22.58101885
D106.N1,True,True,True,True,True,5,True,D106,D106,-1.074275857,152.2493406,25.45907852
D107.N1,True,True,True,True,True,5,True,D107,D107,-0.460327504,193.3203289,38.69081338
D108.N1,True,True,True,True,True,5,True,D108,D108,0.026320351,47.72712753,50.65797078
D109.N1,True,True,True,True,True,5,True,D109,D109,-1.346379301,96.08710517,20.64629422
D109.N2,False,True,True,True,True,4,False,,,,,
D110.N1,True,False,True,True,True,4,False,D110,D110,-3.108516187,67.16340128,4.275733424
D111.N1,False,True,True,True,True,4,False,,,,,
D112.N1,True,True,True,True,True,5,True,D112,D112,-0.4455898,59.33361208,39.04098409
D112.N2,False,True,True,True,True,4,False,,,,,
D113.N1,False,False,True,True,True,3,False,,,,,
D113.N2,True,True,True,True,True,5,True,D113,D113,-1.002901836,43.61890069,26.83712684
D117.N1,False,True,True,True,True,4,False,,,,,
D117.N2,True,True,True,True,True,5,True,D117,D117,-1.300492476,66.07987477,21.40821457
D118.N1,True,True,True,True,True,5,True,D118,D118,-0.142369446,56.49712454,46.44676356
D118.N2,False,True,True,True,True,4,False,,,,,
D119.N1,True,True,True,True,True,5,True,D119,D119,-0.326478894,112.2723986,41.90976084
D119.N2,False,True,True,True,True,4,False,,,,,
D121.N1,True,True,True,True,True,5,True,D121,D121,-2.222256264,110.7375419,9.776959696
D122.N1,True,True,True,True,False,4,False,D122,D122,-1.567750491,91.12110725,17.25373135
D123.N1,False,True,True,True,True,4,False,,,,,
D123.N2,True,True,True,True,True,5,True,D123,D123,-1.87748941,52.29657868,13.26775113
D124.N1,True,True,True,True,True,5,True,D124,D124,-0.688913569,49.78876688,33.42747988
D125.N1,True,True,True,True,True,5,True,D125,D125,-0.562415344,80.72568003,36.29887801
D126.N1,True,True,True,True,True,5,True,D126,D126,-0.40006444,73.10412086,40.12968576
D127.N1,True,True,True,True,True,5,True,D127,D127,-0.783530785,39.40538741,31.35594203
D128.N1,True,True,True,True,True,5,True,D128,D128,-0.695546025,22.05283792,33.28004702
D129.N1,True,True,True,True,True,5,True,D129,D129,-0.689648008,59.79041654,33.41113802
D130.N1,True,True,True,True,True,5,True,D130,D130,-1.104191101,24.13426567,24.89554323
D131.N1,True,True,True,True,True,5,True,D131,D131,-1.099002476,69.02692816,24.99268471
D132.N1,True,True,True,True,True,5,True,D132,D132,-2.052138782,31.13813093,11.38364476
D136.N2,True,True,True,True,True,5,True,D136,D136,-1.42459933,49.87430696,19.39415662
D136.N3,False,False,True,False,True,2,False,,,,,
D137.N1,True,True,True,True,True,5,True,D137,D137,-0.352931648,37.00408036,41.26716849
D138.N1,True,True,True,True,True,5,True,D138,D138,0.667889162,24.61391292,66.10303462
