kingdom,quantile,prevalence_prop
AMF,q00,0.0
AMF,q25,0.008333333333333333
AMF,q50,0.025
AMF,q75,0.10625000000000001
AMF,q90,0.22916666666666669
AMF,q95,0.34791666666666665
AMF,q99,0.43458333333333315
AMF,q100,0.6416666666666667
BAC,q00,0.0
BAC,q25,0.0
BAC,q50,0.0
BAC,q75,0.007142857142857143
BAC,q90,0.02857142857142857
BAC,q95,0.05
BAC,q99,0.17857142857142858
BAC,q100,0.9571428571428572
EUK,q00,0.0
EUK,q25,0.0
EUK,q50,0.007407407407407408
EUK,q75,0.014814814814814815
EUK,q90,0.037037037037037035
EUK,q95,0.05925925925925926
EUK,q99,0.14814814814814814
EUK,q100,0.725925925925926
ITS,q00,0.0
ITS,q25,0.0
ITS,q50,0.0
ITS,q75,0.007194244604316547
ITS,q90,0.02158273381294964
ITS,q95,0.050359712230215826
ITS,q99,0.1366906474820144
ITS,q100,0.7266187050359713
