query_id,query,rank,paperId,title,year,citationCount,influentialCitationCount,venue,url,authors,abstract,ecological_relevance_note
1,plant dark diversity microbial communities,1,b44310da84b75314a273bfaf92597a99410a1067,"Contributions of the dark septate endophyte extracellular metabolites to plant growth, metabolism and root-associated microbial community structure",2024,10,0,Plant and Soil,https://www.semanticscholar.org/paper/b44310da84b75314a273bfaf92597a99410a1067,Yinli Bi; Shuhui Wang; Yaning Song; Hai Tan; Peter Christie,,plant-soil context relevance
1,plant dark diversity microbial communities,2,ecaa926b963466c992e4e7ad224ae5df63cf909f,Investigating the Role of Microbial Dark Matter in Marine & Garden Soil Health and Ecosystem Resilience,2025,0,0,International Journal of Innovative Science and Research Technology,https://www.semanticscholar.org/paper/ecaa926b963466c992e4e7ad224ae5df63cf909f,Ritika Sunil Gawali; Aishwarya Ajayakumar; Udaybhan Yadav,"This study investigates the critical role of Microbial Dark Matter (MDM) comprising uncultured microbial biomass, exudates, and residues in maintaining soil health and enhancing ecosystem resilience in both marine sediments and garden soils. Despite being largely uncharacterized, MDM plays a pivotal role in biogeochemical processes, particularly in nutrient cycling, carbon sequestration, and the stabilization of organic matter. The research compares microbial functions across marine and terrestrial environments, focusing on microbial diversity, metabolic activity, and the interactions between microbial communities and plant roots. Through advanced molecular and biochemical analyses, this study highlights how MDM contributes to the regulation of soil structure, fertility, and biological interactions that underpin ecosystem sustainability. In marine ecosystems, MDM facilitates the transformation and retention of organic carbon in sediments, while in garden soils, it supports plant growth, root health, and overall soil productivity. These microbial functions are essential for ecosystem resilience, especially under environmental stressors such as climate change, pollution, and anthropogenic disturbances. The findings underscore the need to integrate microbial processes particularly those related to MDM into soil health assessment frameworks and ecosystem management strategies. Recognizing and harnessing the functional significance of microbial dark matter can inform sustainable practices in agriculture, soil restoration, and marine conservation.",plant-soil context relevance
1,plant dark diversity microbial communities,3,28f669c375e7cb838b38a9270458b5a53e7eff73,Microbial interactions mediate the fairy ring type effects on alpine meadow plant communities on the Tibetan plateau,2026,0,0,Environmental Microbiome,https://www.semanticscholar.org/paper/28f669c375e7cb838b38a9270458b5a53e7eff73,Zhihua Wu; Shiting Cao; Sisong Tu; Yuyin Zhang; Ming Wang; Huiyuan Ren; Chengxing Wu; Shilong Chen,"The Fairy ring (FR) is a circular formation created by the mycelium of the FR fungus during its dynamic proliferation in the soil. FRs were categorized into three types based on their varying effects on adjacent plants. Type I FRs (T1) cause extensive damage with wilting and necrosis, Type II FRs (T2) promote growth with dark-green zones, and Type III FRs (T3) feature fruiting bodies with minimal impact on vegetation. T2 FR often display conspicuous growth-promoting zones and thus are studied more frequently than other types. Here we compare three FR types—Agrocybe sp. (T1), Agaricus campestris (T2), and Clitocybe sp. (T3)—across zones (ON (beneath the fruiting body)/IN (20 cm inward from the ON zone) /OUT (20 cm outward from the ON zone) and depths (0–10/10–20 cm) in Tibetan alpine meadows using 16 S and ITS amplicon sequencing. We infer putative microbe–fungus associations from diversity patterns, differential abundances, and co-occurrence analyses. Our research revealed that bacterial diversity was minimal in the ON zones; in contrast, fungal diversity was maximal, which may be attributable to the selection and interspecific competition among FR fungi. Taxa enriched in ON zones differed among FR types: T1 exhibited enrichment of Nitrospiria (nitrification) and Phycisphaerae (organic matter decomposition); T2 demonstrated enrichment of Actinobacteria and Proteobacteria, correlating with plant-growth enhancement; T3 displayed diminished recruitment, consistent with negligible vegetation influence. Cross-kingdom co-occurrence networks demonstrated increased microbial collaboration in ON zones, especially in surface soils for T1/T3 and in subsurface layers for T2. Different types of FR fungi exert varying effects on soil microorganisms at different depths. This study provides comparative data on three types of fairy rings and their associated soil microorganisms, offering insights into elucidating the potential mechanisms of fungal-bacterial-plant interactions. However, further validation through metabolomics and controlled experiments is still required. Supplementary Information The online version contains supplementary material available at 10.1186/s40793-026-00873-z.",plant-soil context relevance; cross-kingdom microbial relevance; methodological relevance
1,plant dark diversity microbial communities,4,57e11f2c3b16777e43baa9c24ead98496473acd1,Arbuscular mycorrhizal fungal and soil microbial communities in African Dark Earths,2018,11,1,FEMS Microbiology Ecology,https://www.semanticscholar.org/paper/57e11f2c3b16777e43baa9c24ead98496473acd1,Tessa Camenzind; Edith C. Hammer; J. Lehmann; D. Solomon; Sebastian Horn; M. Rillig; Stefan Hempel,,plant-soil context relevance; cross-kingdom microbial relevance
1,plant dark diversity microbial communities,5,ed66428d02c4e6f26185da226fd2b0aaa2948fc6,Targeted Cell Sorting Combined With Single Cell Genomics Captures Low Abundant Microbial Dark Matter With Higher Sensitivity Than Metagenomics,2020,27,0,Frontiers in Microbiology,https://www.semanticscholar.org/paper/ed66428d02c4e6f26185da226fd2b0aaa2948fc6,H. Dam; John Vollmers; Morgan S. Sobol; A. Cabezas; Anne-Kristin Kaster,"Rare members of environmental microbial communities are often overlooked and unexplored, primarily due to the lack of techniques capable of acquiring their genomes. Chloroflexi belong to one of the most understudied phyla, even though many of its members are ubiquitous in the environment and some play important roles in biochemical cycles or biotechnological applications. We here used a targeted cell-sorting approach, which enables the selection of specific taxa by fluorescent labeling and is compatible with subsequent single-cell genomics, to enrich for rare Chloroflexi species from a wastewater-treatment plant and obtain their genomes. The combined workflow was able to retrieve a substantially higher number of novel Chloroflexi draft genomes with much greater phylogenetical diversity when compared to a metagenomics approach from the same sample. The method offers an opportunity to access genetic information from rare biosphere members which would have otherwise stayed hidden as microbial dark matter and can therefore serve as an essential complement to cultivation-based, metagenomics, and microbial community-focused research approaches.",plant-soil context relevance
1,plant dark diversity microbial communities,6,009a3c715762f137b9b8dbe85cb4ab8d4d99bec9,Exploring the under-investigated “microbial dark matter” of drinking water treatment plants,2017,44,0,Scientific Reports,https://www.semanticscholar.org/paper/009a3c715762f137b9b8dbe85cb4ab8d4d99bec9,A. Bruno; A. Sandionigi; E. Rizzi; M. Bernasconi; Saverio Vicario; A. Galimberti; C. Cocuzza; M. Labra,"Scientists recently reported the unexpected detection of unknown or poorly studied bacterial diversity in groundwater. The ability to uncover this neglected biodiversity mainly derives from technical improvements, and the term “microbial dark matter” was used to group taxa poorly investigated and not necessarily monophyletic. We focused on such under-investigated microbial dark matter of drinking water treatment plant from groundwater, across carbon filters, to post-chlorination. We tackled this topic using an integrated approach where the efficacy of stringent water filtration (10000 MWCO) in recovering even the smallest environmental microorganisms was coupled with high-throughput DNA sequencing to depict an informative spectrum of the neglected microbial diversity. Our results revealed that the composition of bacterial communities varies across the plant system: Parcubacteria (OD1) superphylum is found mainly in treated water, while groundwater has the highest heterogeneity, encompassing non-OD1 candidate phyla (Microgenomates, Saccharibacteria, Dependentiae, OP3, OP1, BRC1, WS3). Carbon filters probably act as substrate for microorganism growth and contribute to seeding water downstream, since chlorination does not modify the incoming bacterial community. New questions arise about the role of microbial dark matter in drinking water. Indeed, our results suggest that these bacteria might play a central role in the microbial dynamics of drinking water.",plant-soil context relevance; cross-kingdom microbial relevance
1,plant dark diversity microbial communities,7,e8ee8a225245c7b4dc45607808d6852fb984805f,Urochloa brizantha and Amazonian Dark Earths reshape soil microbiota without affecting tree growth in degraded Central Amazon Oxisols,2026,0,0,Soil Ecology Letters,https://www.semanticscholar.org/paper/e8ee8a225245c7b4dc45607808d6852fb984805f,Anderson Santos de Freitas; R. E. Hanada; A. Muniz; S. M. Tsai,,plant-soil context relevance; methodological relevance
1,plant dark diversity microbial communities,8,1bc8d0c6b11d0de88297c1782ce00082b4c562e2,Temporal dynamics of endophytic bacterial and fungal communities during spike development in Piper longum L.,2023,4,0,Physiology and Molecular Biology of Plants,https://www.semanticscholar.org/paper/1bc8d0c6b11d0de88297c1782ce00082b4c562e2,Sushma Mishra; Shilpi Sharma,,cross-kingdom microbial relevance
2,community completeness soil microbiome,1,b4c1b40b8d75ecdb9f3717e8dc563240eb184010,Soil microbiome mediates plant community productivity in grass–legume mixtures,2024,5,1,Plant and Soil,https://www.semanticscholar.org/paper/b4c1b40b8d75ecdb9f3717e8dc563240eb184010,Jing Li; Zhuwen Xu; Wenbo Zhang; Xiaojiang Yang; P. Struik; Shenyi Jiang; Zhen Wang; Ke Jin,,plant-soil context relevance
2,community completeness soil microbiome,2,eba33274bbf1e1dbacabfb1026c50ff8b846ccf6,Synthetic bacterial community derived from a desert rhizosphere confers salt stress resilience to tomato in the presence of a soil microbiome,2022,205,4,The ISME Journal,https://www.semanticscholar.org/paper/eba33274bbf1e1dbacabfb1026c50ff8b846ccf6,Lucas Schmitz; Zhichun Yan; M. Schneijderberg; Martijn de Roij; Rick Pijnenburg; Qi Zheng; Carolien Franken; A. Dechesne,"The root bacterial microbiome is important for the general health of the plant. Additionally, it can enhance tolerance to abiotic stresses, exemplified by plant species found in extreme ecological niches like deserts. These complex microbe-plant interactions can be simplified by constructing synthetic bacterial communities or SynComs from the root microbiome. Furthermore, SynComs can be applied as biocontrol agents to protect crops against abiotic stresses such as high salinity. However, there is little knowledge on the design of a SynCom that offers a consistent protection against salt stress for plants growing in a natural and, therefore, non-sterile soil which is more realistic to an agricultural setting. Here we show that a SynCom of five bacterial strains, originating from the root of the desert plant Indigofera argentea, protected tomato plants growing in a non-sterile substrate against a high salt stress. This phenotype correlated with the differential expression of salt stress related genes and ion accumulation in tomato. Quantification of the SynCom strains indicated a low penetrance into the natural soil used as the non-sterile substrate. Our results demonstrate how a desert microbiome could be engineered into a simplified SynCom that protected tomato plants growing in a natural soil against an abiotic stress.",plant-soil context relevance; cross-kingdom microbial relevance
