parameter,value,source_script,source_line_or_section,retained_in_v11_methods
phase2_pseudocount,1e-6,scripts/run_phase2_confirmatory_coupling.py,line 28,yes
phase2_n_components,10,scripts/run_phase2_confirmatory_coupling.py,line 29,yes
phase2_thresholds,0.05;0.10,scripts/run_phase2_confirmatory_coupling.py,line 30,yes
phase2_branches,presence/absence;CLR,scripts/run_phase2_confirmatory_coupling.py,line 31,yes
phase2_pairs,EUK↔ITS;AMF↔ITS;AMF↔EUK,scripts/run_phase2_confirmatory_coupling.py,line 32,yes
phase2_distance_presence_absence,jaccard,scripts/run_phase2_confirmatory_coupling.py,lines 148-150,yes
phase2_distance_clr,euclidean,scripts/run_phase2_confirmatory_coupling.py,lines 154-157,yes
phase2_pca_solver,full,scripts/run_phase2_confirmatory_coupling.py,line 118,yes
phase4_pseudocount,1e-6,scripts/analysis/phase4_coupling_inference.py,line 33,yes
phase4_n_components,10,scripts/analysis/phase4_coupling_inference.py,line 34,yes
phase4_thresholds,0.05;0.10,scripts/analysis/phase4_coupling_inference.py,line 35,yes
phase4_branches,presence/absence;CLR,scripts/analysis/phase4_coupling_inference.py,line 36,yes
phase4_pairs,AMF↔ITS;AMF↔EUK;EUK↔ITS,scripts/analysis/phase4_coupling_inference.py,line 37,yes
phase4_random_seed,20260601,scripts/analysis/phase4_coupling_inference.py,line 39,no
phase4_permutations,499,scripts/analysis/phase4_coupling_inference.py,line 40,yes
phase4_bootstraps,120,scripts/analysis/phase4_coupling_inference.py,line 41,yes
phase4_ci_percentiles,2.5;97.5,scripts/analysis/phase4_coupling_inference.py,bootstrap CI section,yes
phase5a_pseudocount,1e-6,scripts/analysis/phase5_bac_integration.py,line 30,yes
phase5a_n_components,10,scripts/analysis/phase5_bac_integration.py,line 31,yes
phase5a_thresholds,0.05;0.10,scripts/analysis/phase5_bac_integration.py,line 32,yes
phase5a_branches,presence/absence;CLR,scripts/analysis/phase5_bac_integration.py,line 33,yes
phase5a_random_seed,20260601,scripts/analysis/phase5_bac_integration.py,line 43,no
phase5a_permutations,499,scripts/analysis/phase5_bac_integration.py,line 44,yes
phase5a_bootstraps,120,scripts/analysis/phase5_bac_integration.py,line 45,yes
phase5b_threshold_default,0.05,scripts/analysis/phase5b_environmental_drivers.py,line 37,yes
phase5b_permutations_default,499,scripts/analysis/phase5b_environmental_drivers.py,line 38,yes
phase5b_base_seed,20260602,scripts/analysis/phase5b_environmental_drivers.py,line 39,yes
phase5b_primary_predictors,pH_KCl;N_pct;bio12now.100;alpha;compl,scripts/analysis/phase5b_environmental_drivers.py,line 41,yes
phase5b_bio12_numeric_suffix,100,scripts/analysis/phase5b_environmental_drivers.py,line 41 (bio12now.100),yes
phase5b_geography_predictors,lat;lon,scripts/analysis/phase5b_environmental_drivers.py,line 42,yes
phase5b_pseudocount,1e-6,scripts/analysis/phase5b_environmental_drivers.py,line 50,yes
phase5b_n_components,10,scripts/analysis/phase5b_environmental_drivers.py,line 51,yes
phase5b_pcoa_max_axes,12,scripts/analysis/phase5b_environmental_drivers.py,line 191,no
phase5b_forbid_n_plus_c_pct,True,scripts/analysis/phase5b_environmental_drivers.py,predictor policy validation block,yes
phase5c_threshold_default,0.05,scripts/analysis/phase5c_plant_diversity_hypotheses.py,line 44,yes
phase5c_permutations_default,499,scripts/analysis/phase5c_plant_diversity_hypotheses.py,line 45,yes
phase5c_base_seed,20260603,scripts/analysis/phase5c_plant_diversity_hypotheses.py,line 46,yes
phase5c_hypothesis_models_primary,7,scripts/analysis/phase5c_plant_diversity_hypotheses.py,line 51 + model map A-G,yes
phase5c_pseudocount,1e-6,scripts/analysis/phase5c_plant_diversity_hypotheses.py,line 88,yes
phase5c_n_components,10,scripts/analysis/phase5c_plant_diversity_hypotheses.py,line 89,yes
phase5d_coupling_strength_threshold,0.50,scripts/analysis/phase5d_synthesis.py,line 218,yes
phase5d_environment_adj_r2_threshold,0.20,scripts/analysis/phase5d_synthesis.py,"lines 218, 220, 224",yes
phase5d_plant_delta_threshold,0.01,scripts/analysis/phase5d_synthesis.py,"lines 218, 222, 226",yes
phase5d_low_plant_delta_threshold,0.005,scripts/analysis/phase5d_synthesis.py,line 224,yes
analysis_cohort_n,84,results/phase2_confirmatory_coupling/sample_cohort_used.csv,row_count,yes
python_version,3.12.3,.venv runtime,sys.version,no
numpy_version,2.4.5,.venv runtime,import numpy,no
pandas_version,3.0.3,.venv runtime,import pandas,no
scipy_version,1.17.1,.venv runtime,import scipy,no
scikit_learn_version,1.8.0,.venv runtime,import sklearn,no
