number_id,section,metric,pair,branch,value,value_fmt3,source_file,note
N001,Results 1,mantel,BAC↔ITS,presence/absence,0.5842070605265859,0.584,results/phase5d_synthesis/final_coupling_rankings.csv,
N002,Results 1,mantel_p,BAC↔ITS,presence/absence,0.002,0.002,results/phase5d_synthesis/final_coupling_rankings.csv,
N003,Results 1,procrustes_similarity,BAC↔ITS,presence/absence,0.5639467051402062,0.564,results/phase5d_synthesis/final_coupling_rankings.csv,
N004,Results 1,coupling_strength,BAC↔ITS,presence/absence,0.574076882833396,0.574,results/phase5d_synthesis/final_coupling_rankings.csv,
N005,Results 1,mantel,EUK↔ITS,presence/absence,0.4141427978387488,0.414,results/phase5d_synthesis/final_coupling_rankings.csv,
N006,Results 1,mantel_p,EUK↔ITS,presence/absence,0.002,0.002,results/phase5d_synthesis/final_coupling_rankings.csv,
N007,Results 1,procrustes_similarity,EUK↔ITS,presence/absence,0.6615636442170312,0.662,results/phase5d_synthesis/final_coupling_rankings.csv,
N008,Results 1,coupling_strength,EUK↔ITS,presence/absence,0.53785322102789,0.538,results/phase5d_synthesis/final_coupling_rankings.csv,
N009,Results 1,mantel,EUK↔ITS,CLR,0.3871604158089176,0.387,results/phase5d_synthesis/final_coupling_rankings.csv,
N010,Results 1,mantel_p,EUK↔ITS,CLR,0.002,0.002,results/phase5d_synthesis/final_coupling_rankings.csv,
N011,Results 1,procrustes_similarity,EUK↔ITS,CLR,0.6832641631227038,0.683,results/phase5d_synthesis/final_coupling_rankings.csv,
N012,Results 1,coupling_strength,EUK↔ITS,CLR,0.5352122894658107,0.535,results/phase5d_synthesis/final_coupling_rankings.csv,
N013,Results 1,mantel,BAC↔ITS,CLR,0.3581403974050545,0.358,results/phase5d_synthesis/final_coupling_rankings.csv,
N014,Results 1,mantel_p,BAC↔ITS,CLR,0.002,0.002,results/phase5d_synthesis/final_coupling_rankings.csv,
N015,Results 1,procrustes_similarity,BAC↔ITS,CLR,0.5652830095207189,0.565,results/phase5d_synthesis/final_coupling_rankings.csv,
N016,Results 1,coupling_strength,BAC↔ITS,CLR,0.4617117034628867,0.462,results/phase5d_synthesis/final_coupling_rankings.csv,
N017,Results 1,mantel,AMF↔ITS,CLR,0.5253434969262406,0.525,results/phase5d_synthesis/final_coupling_rankings.csv,
N018,Results 1,mantel_p,AMF↔ITS,CLR,0.002,0.002,results/phase5d_synthesis/final_coupling_rankings.csv,
N019,Results 1,procrustes_similarity,AMF↔ITS,CLR,0.3947009249620283,0.395,results/phase5d_synthesis/final_coupling_rankings.csv,
N020,Results 1,coupling_strength,AMF↔ITS,CLR,0.4600222109441344,0.460,results/phase5d_synthesis/final_coupling_rankings.csv,
N021,Results 1,mantel,AMF↔ITS,presence/absence,0.4592488614440619,0.459,results/phase5d_synthesis/final_coupling_rankings.csv,
N022,Results 1,mantel_p,AMF↔ITS,presence/absence,0.002,0.002,results/phase5d_synthesis/final_coupling_rankings.csv,
N023,Results 1,procrustes_similarity,AMF↔ITS,presence/absence,0.4304417803462226,0.430,results/phase5d_synthesis/final_coupling_rankings.csv,
N024,Results 1,coupling_strength,AMF↔ITS,presence/absence,0.4448453208951423,0.445,results/phase5d_synthesis/final_coupling_rankings.csv,
N025,Results 1,mantel,BAC↔EUK,CLR,0.2946978133843422,0.295,results/phase5d_synthesis/final_coupling_rankings.csv,
N026,Results 1,mantel_p,BAC↔EUK,CLR,0.002,0.002,results/phase5d_synthesis/final_coupling_rankings.csv,
N027,Results 1,procrustes_similarity,BAC↔EUK,CLR,0.5857732611223101,0.586,results/phase5d_synthesis/final_coupling_rankings.csv,
N028,Results 1,coupling_strength,BAC↔EUK,CLR,0.4402355372533261,0.440,results/phase5d_synthesis/final_coupling_rankings.csv,
N029,Results 1,mantel,AMF↔EUK,CLR,0.4725046080957331,0.473,results/phase5d_synthesis/final_coupling_rankings.csv,
N030,Results 1,mantel_p,AMF↔EUK,CLR,0.002,0.002,results/phase5d_synthesis/final_coupling_rankings.csv,
N031,Results 1,procrustes_similarity,AMF↔EUK,CLR,0.393450236368732,0.393,results/phase5d_synthesis/final_coupling_rankings.csv,
N032,Results 1,coupling_strength,AMF↔EUK,CLR,0.4329774222322325,0.433,results/phase5d_synthesis/final_coupling_rankings.csv,
N033,Results 1,mantel,AMF↔EUK,presence/absence,0.4375715455191125,0.438,results/phase5d_synthesis/final_coupling_rankings.csv,
N034,Results 1,mantel_p,AMF↔EUK,presence/absence,0.002,0.002,results/phase5d_synthesis/final_coupling_rankings.csv,
N035,Results 1,procrustes_similarity,AMF↔EUK,presence/absence,0.3631506282647913,0.363,results/phase5d_synthesis/final_coupling_rankings.csv,
N036,Results 1,coupling_strength,AMF↔EUK,presence/absence,0.4003610868919519,0.400,results/phase5d_synthesis/final_coupling_rankings.csv,
N037,Results 1,mantel,BAC↔EUK,presence/absence,0.1719522469675008,0.172,results/phase5d_synthesis/final_coupling_rankings.csv,
N038,Results 1,mantel_p,BAC↔EUK,presence/absence,0.018,0.018,results/phase5d_synthesis/final_coupling_rankings.csv,
N039,Results 1,procrustes_similarity,BAC↔EUK,presence/absence,0.5488931186289077,0.549,results/phase5d_synthesis/final_coupling_rankings.csv,
N040,Results 1,coupling_strength,BAC↔EUK,presence/absence,0.3604226827982042,0.360,results/phase5d_synthesis/final_coupling_rankings.csv,
N041,Results 1,mantel,BAC↔AMF,presence/absence,0.3789225706474426,0.379,results/phase5d_synthesis/final_coupling_rankings.csv,
N042,Results 1,mantel_p,BAC↔AMF,presence/absence,0.002,0.002,results/phase5d_synthesis/final_coupling_rankings.csv,
N043,Results 1,procrustes_similarity,BAC↔AMF,presence/absence,0.3388544015401143,0.339,results/phase5d_synthesis/final_coupling_rankings.csv,
N044,Results 1,coupling_strength,BAC↔AMF,presence/absence,0.3588884860937784,0.359,results/phase5d_synthesis/final_coupling_rankings.csv,
N045,Results 1,mantel,BAC↔AMF,CLR,0.2866213085820115,0.287,results/phase5d_synthesis/final_coupling_rankings.csv,
N046,Results 1,mantel_p,BAC↔AMF,CLR,0.002,0.002,results/phase5d_synthesis/final_coupling_rankings.csv,
N047,Results 1,procrustes_similarity,BAC↔AMF,CLR,0.3513855298285167,0.351,results/phase5d_synthesis/final_coupling_rankings.csv,
N048,Results 1,coupling_strength,BAC↔AMF,CLR,0.3190034192052641,0.319,results/phase5d_synthesis/final_coupling_rankings.csv,
N049,Results 5,pair_rank_by_coupling_strength,BAC↔ITS,presence/absence,1.0,1.000,results/phase5d_synthesis/final_coupling_rankings.csv,
N050,Results 5,pair_rank_by_coupling_strength,EUK↔ITS,presence/absence,2.0,2.000,results/phase5d_synthesis/final_coupling_rankings.csv,
N051,Results 5,pair_rank_by_coupling_strength,EUK↔ITS,CLR,3.0,3.000,results/phase5d_synthesis/final_coupling_rankings.csv,
N052,Results 5,pair_rank_by_coupling_strength,BAC↔ITS,CLR,4.0,4.000,results/phase5d_synthesis/final_coupling_rankings.csv,
N053,Results 5,pair_rank_by_coupling_strength,AMF↔ITS,CLR,5.0,5.000,results/phase5d_synthesis/final_coupling_rankings.csv,
N054,Results 5,pair_rank_by_coupling_strength,AMF↔ITS,presence/absence,6.0,6.000,results/phase5d_synthesis/final_coupling_rankings.csv,
N055,Results 5,pair_rank_by_coupling_strength,BAC↔EUK,CLR,7.0,7.000,results/phase5d_synthesis/final_coupling_rankings.csv,
N056,Results 5,pair_rank_by_coupling_strength,AMF↔EUK,CLR,8.0,8.000,results/phase5d_synthesis/final_coupling_rankings.csv,
N057,Results 5,pair_rank_by_coupling_strength,AMF↔EUK,presence/absence,9.0,9.000,results/phase5d_synthesis/final_coupling_rankings.csv,
N058,Results 5,pair_rank_by_coupling_strength,BAC↔EUK,presence/absence,10.0,10.000,results/phase5d_synthesis/final_coupling_rankings.csv,
N059,Results 5,pair_rank_by_coupling_strength,BAC↔AMF,presence/absence,11.0,11.000,results/phase5d_synthesis/final_coupling_rankings.csv,
N060,Results 5,pair_rank_by_coupling_strength,BAC↔AMF,CLR,12.0,12.000,results/phase5d_synthesis/final_coupling_rankings.csv,
N061,Results 1,threshold_mantel_abs_diff_median,,,0.04399711487907379,0.044,results/phase5_bac_integration/phase5_bac_mantel_inference.csv,
N062,Results 1,threshold_mantel_abs_diff_max,,,0.08401548110990953,0.084,results/phase5_bac_integration/phase5_bac_mantel_inference.csv,
