modality,prevalence_threshold,threshold_label,min_occurrences,total_features,features_retained,features_removed,fraction_retained
AMF,0.005,0.5%,1,386,280,106,0.725389
AMF,0.01,1.0%,1,386,280,106,0.725389
AMF,0.02,2.0%,2,386,217,169,0.562176
AMF,0.03,3.0%,3,386,186,200,0.481865
AMF,0.05,5.0%,5,386,148,238,0.38342
AMF,0.075,7.5%,7,386,124,262,0.321244
AMF,0.1,10.0%,9,386,106,280,0.274611
AMF,0.15,15.0%,13,386,76,310,0.196891
AMF,0.2,20.0%,17,386,53,333,0.137306
BAC,0.005,0.5%,1,291699,115574,176125,0.39621
BAC,0.01,1.0%,1,291699,115574,176125,0.39621
BAC,0.02,2.0%,2,291699,49607,242092,0.170062
BAC,0.03,3.0%,3,291699,30434,261265,0.104334
BAC,0.05,5.0%,5,291699,16561,275138,0.056774
BAC,0.075,7.5%,7,291699,10813,280886,0.037069
BAC,0.1,10.0%,9,291699,7786,283913,0.026692
BAC,0.15,15.0%,13,291699,4657,287042,0.015965
BAC,0.2,20.0%,17,291699,3020,288679,0.010353
EUK,0.005,0.5%,1,58205,27880,30325,0.478997
EUK,0.01,1.0%,1,58205,27880,30325,0.478997
EUK,0.02,2.0%,2,58205,12764,45441,0.219294
EUK,0.03,3.0%,3,58205,7763,50442,0.133373
EUK,0.05,5.0%,5,58205,4126,54079,0.070887
EUK,0.075,7.5%,7,58205,2472,55733,0.042471
EUK,0.1,10.0%,9,58205,1651,56554,0.028365
EUK,0.15,15.0%,13,58205,814,57391,0.013985
EUK,0.2,20.0%,17,58205,434,57771,0.007456
ITS,0.005,0.5%,1,26285,8506,17779,0.323607
ITS,0.01,1.0%,1,26285,8506,17779,0.323607
ITS,0.02,2.0%,2,26285,4125,22160,0.156934
ITS,0.03,3.0%,3,26285,2510,23775,0.095492
ITS,0.05,5.0%,5,26285,1286,24999,0.048925
ITS,0.075,7.5%,7,26285,793,25492,0.030169
ITS,0.1,10.0%,9,26285,518,25767,0.019707
ITS,0.15,15.0%,13,26285,272,26013,0.010348
ITS,0.2,20.0%,17,26285,160,26125,0.006087
