threshold,kingdom,pc,variance_explained
0.05,AMF,1,0.11052794924188278
0.05,AMF,2,0.08952534456390701
0.05,AMF,3,0.06494460313730781
0.05,AMF,4,0.05192855336890298
0.05,AMF,5,0.03906877105814578
0.05,BAC,1,0.07967199667209612
0.05,BAC,2,0.05115849281704994
0.05,BAC,3,0.050685270109173716
0.05,BAC,4,0.03597190968674698
0.05,BAC,5,0.02525972732208992
0.05,EUK,1,0.06103834953028453
0.05,EUK,2,0.04529482569776741
0.05,EUK,3,0.03559172167294562
0.05,EUK,4,0.0283332672057325
0.05,EUK,5,0.02686611371785806
0.05,ITS,1,0.06829782544066149
0.05,ITS,2,0.05560140100970789
0.05,ITS,3,0.036480931252208755
0.05,ITS,4,0.033032687809589845
0.05,ITS,5,0.03136690898483423
0.1,AMF,1,0.11708460372317918
0.1,AMF,2,0.0850113206836037
0.1,AMF,3,0.07258757313590655
0.1,AMF,4,0.0606665355216707
0.1,AMF,5,0.04489613023544669
0.1,BAC,1,0.10896291509319553
0.1,BAC,2,0.06444835407739728
0.1,BAC,3,0.05118094173665656
0.1,BAC,4,0.044026073837880146
0.1,BAC,5,0.026893815433432434
0.1,EUK,1,0.08527585357702075
0.1,EUK,2,0.05517638869356863
0.1,EUK,3,0.043459992116714766
0.1,EUK,4,0.03609574363060083
0.1,EUK,5,0.02965455281476156
0.1,ITS,1,0.09087340918872534
0.1,ITS,2,0.0697076645349622
0.1,ITS,3,0.04392293666558738
0.1,ITS,4,0.04166025100696493
0.1,ITS,5,0.03495668240493778
