microbial_summary,plant_metric,n,spearman_r,spearman_p,spearman_perm_p,partial_spearman_r,partial_spearman_perm_p,block_column,note
AMF_PC1,alpha,84,-0.3200239346558723,0.003001512772358408,0.01,-0.10535587729067532,0.31,none,
AMF_PC1,gamma,84,-0.1785810110172911,0.10410049946120534,0.17,-0.05568492457223854,0.56,none,
AMF_PC1,dark,84,-0.1352839931153184,0.2198340577434406,0.26,-0.03422091728257568,0.73,none,
AMF_PC1,compl,84,-0.20415105801356687,0.06250325690238932,0.09,-0.05048091525766933,0.73,none,
AMF_PC1,pool,84,-0.19599068543079887,0.07397938173146118,0.1,-0.04294826364280652,0.74,none,
AMF_PC1,compl.perc,84,-0.20415105801356687,0.06250325690238932,0.09,-0.04699807633896932,0.6,none,
AMF_PC1,beta,84,0.13459552495697077,0.2222118483899844,0.22,-0.0709527184367723,0.56,none,
AMF_PC1,beta.perc,84,0.13459552495697077,0.2222118483899844,0.27,-0.07002126151665486,0.51,none,
BAC_PC1,alpha,84,-0.22598683355300417,0.038735064802519203,0.05,0.1696061557152982,0.14,none,
BAC_PC1,gamma,84,-0.06052598275662582,0.5844339551332629,0.64,0.16308595727447606,0.14,none,
BAC_PC1,dark,84,-0.03424116634605649,0.7571588632707301,0.8,0.18922749822820695,0.1,none,
BAC_PC1,compl,84,-0.19777260301711047,0.07133909452980494,0.09,0.01623974891161284,0.91,none,
BAC_PC1,pool,84,-0.08512706287334211,0.441352688438017,0.44,0.2093753163916169,0.1,none,
BAC_PC1,compl.perc,84,-0.19777260301711047,0.07133909452980494,0.09,0.022678951098511695,0.87,none,
BAC_PC1,beta,84,0.11193682292193986,0.3107087806489532,0.3,-0.17954844588437785,0.09,none,
BAC_PC1,beta.perc,84,0.11193682292193986,0.3107087806489532,0.33,-0.18272754885086565,0.09,none,
EUK_PC1,alpha,84,0.19429337283016118,0.07656666863393899,0.11,-0.057304849650703656,0.56,none,
EUK_PC1,gamma,84,0.0048396486714063465,0.9651501289720824,0.98,0.006985926900880834,0.96,none,
EUK_PC1,dark,84,-0.04679558570416118,0.6725185958211374,0.68,-0.029583881745469272,0.88,none,
EUK_PC1,compl,84,0.2613141642199049,0.016351445475903573,0.01,-0.03110256150653033,0.8,none,
EUK_PC1,pool,84,0.016017009213323885,0.8850204116641863,0.92,-0.04495292092740711,0.69,none,
EUK_PC1,compl.perc,84,0.2613141642199049,0.016351445475903573,0.03,-0.017535688974384935,0.91,none,
EUK_PC1,beta,84,-0.1261314164219905,0.25292868244975547,0.38,0.10270324997468867,0.43,none,
EUK_PC1,beta.perc,84,-0.1261314164219905,0.25292868244975547,0.26,0.10499139414802065,0.32,none,
ITS_PC1,alpha,84,-0.23907342711449767,0.028511319063455096,0.02,-0.043596233674192575,0.73,none,
ITS_PC1,gamma,84,-0.042524109665076686,0.7009236707575881,0.72,-0.045783132530120486,0.67,none,
ITS_PC1,dark,84,-0.0008909587931558166,0.9935823508055602,0.99,-0.007431406297458743,0.93,none,
ITS_PC1,compl,84,-0.24487192467348387,0.024770957788240042,0.06,-0.015875265768958185,0.86,none,
ITS_PC1,pool,84,-0.0736863420066822,0.5053257000568102,0.51,-0.01316189126252911,0.92,none,
ITS_PC1,compl.perc,84,-0.24487192467348387,0.024770957788240042,0.04,-0.03387668320340184,0.81,none,
ITS_PC1,beta,84,0.1377138807330161,0.21158527730466778,0.25,-0.10928419560595322,0.28,none,
ITS_PC1,beta.perc,84,0.1377138807330161,0.21158527730466778,0.22,-0.11108636225574568,0.41,none,
cross_kingdom_dispersion,alpha,84,0.1737113619037256,0.11404383546676052,0.15,0.19469474536802672,0.05,none,
cross_kingdom_dispersion,gamma,84,0.06757283521540995,0.5413755589944903,0.6,0.09525159461374912,0.37,none,
cross_kingdom_dispersion,dark,84,0.06342006682190948,0.5665617514080648,0.58,0.10732003644831428,0.3,none,
cross_kingdom_dispersion,compl,84,0.14919509972663766,0.17557649858298355,0.16,0.09960514326212412,0.41,none,
cross_kingdom_dispersion,pool,84,0.08524855725422699,0.4406987255227024,0.44,0.1324896223549661,0.21,none,
cross_kingdom_dispersion,compl.perc,84,0.14919509972663766,0.17557649858298355,0.21,0.0940568998683811,0.39,none,
cross_kingdom_dispersion,beta,84,-0.06603219601093449,0.5506550738901698,0.67,-0.04343424116634605,0.68,none,
cross_kingdom_dispersion,beta.perc,84,-0.06603219601093449,0.5506550738901698,0.67,-0.04687658195808444,0.58,none,
