threshold,n_pcs,kingdom_a,kingdom_b,n_samples,covariates_used,procrustes_corr,adj_procrustes_corr,delta_procrustes_corr,mantel_spearman_r,adj_mantel_spearman_r,delta_mantel_spearman_r,rv_coeff,adj_rv_coeff,delta_rv_coeff,embedding_distance_pearson_r,adj_embedding_distance_pearson_r,delta_embedding_distance_pearson_r
0.01,5,AMF,BAC,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.06855738009126078,0.9358200838658121,0.8672627037745513,0.08631355216399891,0.9393519239834971,0.8530383718194982,0.12167075392869199,0.9873483889656632,0.8656776350369713,0.009339220541718396,0.9896122643447323,0.9802730438030138
0.01,5,AMF,EUK,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.04423137698926349,0.8120669068878688,0.7678355298986053,0.20248257849458626,0.9320665656869611,0.7295839871923748,0.060660904878714575,0.6980634739192114,0.6374025690404969,0.05951122700507651,0.9676644262294638,0.9081531992243873
0.01,5,AMF,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.19291401874814673,0.9201021783880079,0.7271881596398612,0.3924752970564501,0.9304548508787811,0.537979553822331,0.2990751356308791,0.9298253275425612,0.630750191911682,0.2280275655263902,0.9844124228207933,0.7563848572944032
0.01,5,BAC,EUK,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.01544125348162928,0.8764676281861091,0.8610263747044798,0.1492621708987291,0.9657362813297777,0.8164741104310487,0.037698650466812006,0.7411592145575511,0.7034605640907391,0.011875678833071935,0.9851515461377105,0.9732758673046386
0.01,5,BAC,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.044842529059644476,0.9388320960430745,0.89398956698343,0.10051204358787849,0.9442943789408085,0.84378233535293,0.08444696203256485,0.9571745602181552,0.8727275981855903,-0.021949105444364864,0.9874355375429654,1.0093846429873303
0.01,5,EUK,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.3603569099376095,0.8456729846168511,0.48531607467924165,0.39479278577934446,0.9366350893455632,0.5418423035662188,0.5222960272930756,0.7637620147312391,0.2414659874381635,0.6029999032377328,0.9659148424004353,0.36291493916270257
0.01,10,AMF,BAC,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.14243192856100706,0.8990101846384125,0.7565782560774055,0.09973822561350391,0.9366106831670682,0.8368724575535643,0.20446351893062947,0.8779309212054174,0.673467402274788,0.04628621730710211,0.9801565363056388,0.9338703189985367
0.01,10,AMF,EUK,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.08848994094843621,0.9188273163833212,0.830337375434885,0.17183784889830772,0.9341903694768856,0.7623525205785779,0.14672811532968896,0.8332274292716575,0.6864993139419685,0.05036899850363213,0.9878286694421681,0.937459670938536
0.01,10,AMF,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.24701011066279543,0.9048407624503463,0.6578306517875508,0.34214403779765507,0.9449402357850454,0.6027961979873904,0.35470389032662547,0.8227930583970247,0.4680891680703992,0.29454115195796465,0.9853977553882615,0.6908566034302968
0.01,10,BAC,EUK,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.032917315529435554,0.937111521283981,0.9041942057545455,0.08101037304439036,0.9631920940819187,0.8821817210375283,0.08861746581314542,0.8278198298270691,0.7392023640139237,-0.05151238597794692,0.9867415636978529,1.0382539496757999
0.01,10,BAC,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.07584085420220044,0.9586561881211266,0.8828153339189262,0.03982601405033349,0.9594602069930972,0.9196341929427637,0.14740617223727936,0.9456271251193882,0.7982209528821088,-0.059684230063186586,0.993237292310416,1.0529215223736026
