observed,null_mean,null_sd,null_q025,null_q975,perm_p,threshold,n_pcs,kingdom_a,kingdom_b,n_samples,covariates_used,metric,null_type
0.06855738009126078,0.03391453006994324,0.019729047466365755,0.011290159433224372,0.09083419996806186,0.06,0.01,5,AMF,BAC,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,procrustes_corr,shuffled_labels
0.06855738009126078,0.0685573800912608,5.847656170300977e-17,0.06855738009126078,0.06855738009126089,0.98,0.01,5,AMF,BAC,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,procrustes_corr,random_alignment
0.08631355216399891,-0.004613317842618573,0.07308211060103656,-0.13891750230607033,0.13377436013222482,0.26,0.01,5,AMF,BAC,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,mantel_spearman_r,shuffled_labels
0.08631355216399891,0.08631355216399891,0.0,0.08631355216399891,0.08631355216399891,1.0,0.01,5,AMF,BAC,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,mantel_spearman_r,random_alignment
0.12167075392869199,0.048008451990558844,0.028272486634730094,0.01636962340195768,0.13325919071550524,0.05,0.01,5,AMF,BAC,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,rv_coeff,shuffled_labels
0.12167075392869199,0.12167075392869198,2.7001889755629473e-17,0.12167075392869192,0.12167075392869203,0.51,0.01,5,AMF,BAC,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,rv_coeff,random_alignment
0.009339220541718396,-0.006487649902323733,0.09999923921900364,-0.13433752093369344,0.257590822346544,0.98,0.01,5,AMF,BAC,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,embedding_distance_pearson_r,shuffled_labels
0.009339220541718396,0.009339220541718396,1.049208494392205e-17,0.009339220541718376,0.009339220541718419,0.49,0.01,5,AMF,BAC,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,embedding_distance_pearson_r,random_alignment
0.04423137698926349,0.03781400990360168,0.0283845432350544,0.010757255897804102,0.10476565261190117,0.26,0.01,5,AMF,EUK,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,procrustes_corr,shuffled_labels
0.04423137698926349,0.0442313769892635,6.974206569134825e-18,0.04423137698926349,0.04423137698926349,1.0,0.01,5,AMF,EUK,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,procrustes_corr,random_alignment
0.20248257849458626,0.007772648026774955,0.0678702053090152,-0.11752902793088753,0.1517843407760325,0.01,0.01,5,AMF,EUK,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,mantel_spearman_r,shuffled_labels
0.20248257849458626,0.20248257849458623,2.78968262765393e-17,0.20248257849458626,0.20248257849458626,1.0,0.01,5,AMF,EUK,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,mantel_spearman_r,random_alignment
0.060660904878714575,0.05847555003127523,0.04523481381741416,0.01565257967009306,0.16818434478728625,0.27,0.01,5,AMF,EUK,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,rv_coeff,shuffled_labels
0.060660904878714575,0.06066090487871456,1.4053685674283035e-17,0.06066090487871455,0.06066090487871459,0.55,0.01,5,AMF,EUK,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,rv_coeff,random_alignment
0.05951122700507651,0.019692222938169895,0.1126779261536124,-0.11459392509728061,0.2687166543975684,0.54,0.01,5,AMF,EUK,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,embedding_distance_pearson_r,shuffled_labels
0.05951122700507651,0.059511227005076495,1.4736296257976306e-17,0.05951122700507649,0.05951122700507652,0.47,0.01,5,AMF,EUK,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,embedding_distance_pearson_r,random_alignment
0.19291401874814673,0.03591859036886439,0.02071368508636044,0.0153264259322418,0.08359222580077183,0.01,0.01,5,AMF,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,procrustes_corr,shuffled_labels
