pair,branch,threshold,n_samples,distance_metric,ordination_method,n_features_1,n_features_2,mantel_spearman,mantel_perm_pvalue,mantel_bootstrap_median,mantel_bootstrap_sd,mantel_ci_lower,mantel_ci_upper,n_permutations,n_bootstraps,seed
AMF↔EUK,CLR,0.05,84,euclidean,pca,148,4126,0.47841599857754763,0.001,0.48439033185381253,0.06848955106043579,0.35280827042820245,0.6020856903682295,999,120,262566668
AMF↔EUK,presence/absence,0.05,84,jaccard,pcoa,148,4126,0.44702397413641126,0.001,0.47613650134255,0.07445297694376946,0.3189474507987857,0.607924099941541,999,120,1037603233
AMF↔ITS,CLR,0.05,84,euclidean,pca,148,1286,0.5559547299901196,0.001,0.5320639511244212,0.07721143145776958,0.33672884218287946,0.6457214695175636,999,120,909849843
AMF↔ITS,presence/absence,0.05,84,jaccard,pcoa,148,1286,0.45990195316406357,0.001,0.48993562463678286,0.05380569140769488,0.3776976107609099,0.5890016497320965,999,120,2118489306
BAC↔AMF,CLR,0.05,84,euclidean,pca,16561,148,0.26460272268898805,0.001,0.27366269440560775,0.08788339638105033,0.11681385647610612,0.4307966591085374,999,120,149260931
BAC↔AMF,presence/absence,0.05,84,jaccard,pcoa,16561,148,0.3870894668996215,0.001,0.41252158296076014,0.06530365726582288,0.2939590631527621,0.5385088203211114,999,120,1729192418
BAC↔EUK,CLR,0.05,84,euclidean,pca,16561,4126,0.2619631693164172,0.001,0.3943011615032514,0.1083898245797931,0.1611232330310438,0.5806892293056051,999,120,1396375985
BAC↔EUK,presence/absence,0.05,84,jaccard,pcoa,16561,4126,0.20140377127141887,0.001,0.24693019744370354,0.06671235671555178,0.09979024850518768,0.38170833350358274,999,120,1202191571
BAC↔ITS,CLR,0.05,84,euclidean,pca,16561,1286,0.31613265685009984,0.001,0.4034891651460879,0.08170086788199837,0.22950340025105878,0.5659390073892361,999,120,991026807
BAC↔ITS,presence/absence,0.05,84,jaccard,pcoa,16561,1286,0.5972515497305896,0.001,0.6283333627919245,0.04693859258270764,0.5247568204006299,0.7183933214268954,999,120,137201197
EUK↔ITS,CLR,0.05,84,euclidean,pca,4126,1286,0.4091389447949679,0.001,0.5445199195319731,0.09299169433703762,0.38486656339851144,0.701808944146883,999,120,2006528325
EUK↔ITS,presence/absence,0.05,84,jaccard,pcoa,4126,1286,0.43809181418085624,0.001,0.45908835717736807,0.06074179254637385,0.33388887556658686,0.5787121297486513,999,120,1708005185
