pair,branch,threshold,procrustes_fit,procrustes_bootstrap_mean,procrustes_bootstrap_median,procrustes_bootstrap_sd,procrustes_ci_lower,procrustes_ci_upper,n_bootstraps,seed
AMF↔EUK,CLR,0.05,0.5908073997702095,0.47632445616995595,0.4790159467195895,0.055064855141267584,0.34875900548210376,0.577451664061087,120,1037603233
AMF↔EUK,CLR,0.1,0.6222921274923265,0.49525991911670514,0.5011542349823137,0.052090158777339024,0.3976461738520867,0.57667609478097,120,262566668
AMF↔EUK,presence/absence,0.05,0.625843761144852,0.4931880694272592,0.49182655994400754,0.05562493408754726,0.388085757350819,0.6024312550191921,120,137201197
AMF↔EUK,presence/absence,0.1,0.6478549823255656,0.514404212648573,0.5213082823227693,0.055108152390039106,0.40615443682902874,0.6126884544532738,120,991026807
AMF↔ITS,CLR,0.05,0.5846708424078187,0.45676723961225535,0.4537442991231385,0.05039265445121931,0.37756877854305504,0.5485643838799871,120,2118489306
AMF↔ITS,CLR,0.1,0.6259273076681244,0.49176379655555186,0.4951914777765769,0.053842420877881506,0.3745783616934952,0.5851644408734182,120,909849843
AMF↔ITS,presence/absence,0.05,0.5548121075011843,0.45760197444145045,0.4593048804665295,0.047392258910367836,0.36482999118257947,0.5490717402324253,120,1729192418
AMF↔ITS,presence/absence,0.1,0.5843043318063703,0.4920826280072814,0.4938859534039517,0.04073179277320304,0.40359017130038066,0.5647293549242964,120,149260931
EUK↔ITS,CLR,0.05,0.3102731164471279,0.24897010032170688,0.24775904780019792,0.051227744607151994,0.15316716321500667,0.3438397481474763,120,1708005185
EUK↔ITS,CLR,0.1,0.3231985573074646,0.2721661394384842,0.26702765115809757,0.052708677431444174,0.18306166655974299,0.37891359666767804,120,2006528325
EUK↔ITS,presence/absence,0.05,0.33706566841960856,0.23836878950032173,0.24085856570000275,0.04817605842836792,0.1307670169797976,0.3227288198017554,120,1202191571
EUK↔ITS,presence/absence,0.1,0.3398070431463292,0.3079376959642023,0.31308147584842283,0.048158211205087176,0.21900704905910937,0.3905105556538376,120,1396375985
