pair,branch,threshold,n_samples,distance_metric,ordination_method,clr_distance_strategy,n_features_1,n_features_2,mantel_spearman,mantel_perm_pvalue,mantel_bootstrap_median,mantel_bootstrap_sd,mantel_ci_lower,mantel_ci_upper,n_permutations,n_bootstraps,seed
AMF↔EUK,CLR,0.05,84,euclidean,pca,direct_aitchison,148,4126,0.4784159985775476,0.001,0.4964036393057458,0.0712964513486979,0.3230381271826912,0.604258172079339,999,120,20350664
AMF↔EUK,presence/absence,0.05,84,jaccard,pcoa,jaccard_presence_absence,148,4126,0.4470239741364112,0.001,0.456305493534948,0.0733000735364188,0.3131921864386499,0.5967074306957265,999,120,20340657
AMF↔ITS,CLR,0.05,84,euclidean,pca,direct_aitchison,148,1286,0.5559547299901196,0.001,0.5344050886182954,0.0807503360944596,0.3385609595485714,0.6461697945605177,999,120,20330650
AMF↔ITS,presence/absence,0.05,84,jaccard,pcoa,jaccard_presence_absence,148,1286,0.4599019531640635,0.001,0.4869839575798541,0.0581904999480785,0.3905798578177561,0.5963678511600705,999,120,20320643
BAC↔AMF,CLR,0.05,84,euclidean,pca,direct_aitchison,16561,148,0.264602722688988,0.001,0.2786205423994382,0.0908587699631618,0.0951389859870422,0.4800837108511875,999,120,20270608
BAC↔AMF,presence/absence,0.05,84,jaccard,pcoa,jaccard_presence_absence,16561,148,0.3870894668996215,0.001,0.4017442715810583,0.0568657044368907,0.2973112262755255,0.5131110685696207,999,120,20260601
BAC↔EUK,CLR,0.05,84,euclidean,pca,direct_aitchison,16561,4126,0.2619631693164172,0.001,0.3810859829468896,0.0907715096831199,0.2202113521619562,0.5448010787501855,999,120,20310636
BAC↔EUK,presence/absence,0.05,84,jaccard,pcoa,jaccard_presence_absence,16561,4126,0.2014037712714188,0.001,0.2392192049611911,0.0750694982132518,0.1325969997980657,0.4071627192755745,999,120,20300629
BAC↔ITS,CLR,0.05,84,euclidean,pca,direct_aitchison,16561,1286,0.3161326568500998,0.001,0.3880820141166065,0.1018907643355079,0.1791682661716061,0.6179059626531752,999,120,20290622
BAC↔ITS,presence/absence,0.05,84,jaccard,pcoa,jaccard_presence_absence,16561,1286,0.5972515497305896,0.001,0.6313478012702296,0.0515488935065624,0.513363378303863,0.7126419649061424,999,120,20280615
EUK↔ITS,CLR,0.05,84,euclidean,pca,direct_aitchison,4126,1286,0.4091389447949679,0.001,0.5133942919251024,0.1093435554272072,0.2772435496539788,0.6925756592546592,999,120,20370678
EUK↔ITS,presence/absence,0.05,84,jaccard,pcoa,jaccard_presence_absence,4126,1286,0.4380918141808562,0.001,0.4717468789699954,0.0580032508554113,0.3684226846241157,0.5881908841802953,999,120,20360671
