record_type,combo_index,pair,branch,threshold,model_type,seed,n_samples,n_features_domain1,n_features_domain2,n_predictors,predictor_set,r2,adjusted_r2,pseudo_f,permutation_p,permutations,clr_distance_strategy,predictor,full_r2,reduced_r2,delta_r2,full_adj_r2,reduced_adj_r2,delta_adj_r2
summary,5,BAC↔EUK,CLR,0.05,primary,20310637,84,16561,4126,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.28169518380514613,0.23565000327983499,6.117799530621834,0.001,999,direct_aitchison,,,,,,,
predictor_ranking,5,BAC↔EUK,CLR,0.05,primary,20310637,84,16561,4126,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.28169518380514613,0.23565000327983499,6.117799530621834,0.001,999,direct_aitchison,pH_KCl,0.28169518380514613,0.13754227627542792,0.1441529075297182,0.23565000327983499,0.0938735307703863,0.1417764725094487
predictor_ranking,5,BAC↔EUK,CLR,0.05,primary,20310637,84,16561,4126,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.28169518380514613,0.23565000327983499,6.117799530621834,0.001,999,direct_aitchison,N_pct,0.28169518380514613,0.2599906249833078,0.021704558821838305,0.23565000327983499,0.2225217958685386,0.013128207411296389
predictor_ranking,5,BAC↔EUK,CLR,0.05,primary,20310637,84,16561,4126,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.28169518380514613,0.23565000327983499,6.117799530621834,0.001,999,direct_aitchison,bio12now.100,0.28169518380514613,0.26518526272315623,0.016509921081989898,0.23565000327983499,0.2279794532407844,0.007670550039050594
predictor_ranking,5,BAC↔EUK,CLR,0.05,primary,20310637,84,16561,4126,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.28169518380514613,0.23565000327983499,6.117799530621834,0.001,999,direct_aitchison,alpha,0.28169518380514613,0.2673197930949719,0.01437539071017424,0.23565000327983499,0.2302220610997806,0.005427942180054379
predictor_ranking,5,BAC↔EUK,CLR,0.05,primary,20310637,84,16561,4126,5,"pH_KCl,N_pct,bio12now.100,alpha,compl",0.28169518380514613,0.23565000327983499,6.117799530621834,0.001,999,direct_aitchison,compl,0.28169518380514613,0.27729042640903157,0.004404757396114567,0.23565000327983499,0.24069753660695714,-0.005047533327122156
summary,5,BAC↔EUK,CLR,0.05,geography_sensitivity,20310638,84,16561,4126,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.30831950376613904,0.244612089639336,4.83961730345013,0.001,999,direct_aitchison,,,,,,,
predictor_ranking,5,BAC↔EUK,CLR,0.05,geography_sensitivity,20310638,84,16561,4126,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.30831950376613904,0.244612089639336,4.83961730345013,0.001,999,direct_aitchison,pH_KCl,0.30831950376613904,0.16527520227677528,0.14304430148936376,0.244612089639336,0.10023171154509547,0.14438037809424054
predictor_ranking,5,BAC↔EUK,CLR,0.05,geography_sensitivity,20310638,84,16561,4126,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.30831950376613904,0.244612089639336,4.83961730345013,0.001,999,direct_aitchison,N_pct,0.30831950376613904,0.288591946596477,0.019727557169662013,0.244612089639336,0.2331575528247739,0.0114545368145621
predictor_ranking,5,BAC↔EUK,CLR,0.05,geography_sensitivity,20310638,84,16561,4126,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.30831950376613904,0.244612089639336,4.83961730345013,0.001,999,direct_aitchison,lat,0.30831950376613904,0.29082833338244063,0.017491170383698407,0.244612089639336,0.23556820351613728,0.00904388612319873
predictor_ranking,5,BAC↔EUK,CLR,0.05,geography_sensitivity,20310638,84,16561,4126,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.30831950376613904,0.244612089639336,4.83961730345013,0.001,999,direct_aitchison,bio12now.100,0.30831950376613904,0.29123801545429273,0.017081488311846305,0.244612089639336,0.2360098088663155,0.008602280773020499
predictor_ranking,5,BAC↔EUK,CLR,0.05,geography_sensitivity,20310638,84,16561,4126,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.30831950376613904,0.244612089639336,4.83961730345013,0.001,999,direct_aitchison,alpha,0.30831950376613904,0.29328098775870715,0.01503851600743189,0.244612089639336,0.23821197381782722,0.0064001158215087894
predictor_ranking,5,BAC↔EUK,CLR,0.05,geography_sensitivity,20310638,84,16561,4126,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.30831950376613904,0.244612089639336,4.83961730345013,0.001,999,direct_aitchison,lon,0.30831950376613904,0.2985563986352592,0.009763105130879857,0.244612089639336,0.24389845567177293,0.0007136339675630765
predictor_ranking,5,BAC↔EUK,CLR,0.05,geography_sensitivity,20310638,84,16561,4126,7,"pH_KCl,N_pct,bio12now.100,alpha,compl,lat,lon",0.30831950376613904,0.244612089639336,4.83961730345013,0.001,999,direct_aitchison,compl,0.30831950376613904,0.30399389631739326,0.004325607448745772,0.244612089639336,0.24975965447199533,-0.005147564832659324
