record_type,combo_index,pair,branch,threshold,model_scope,hypothesis_id,hypothesis_name,seed,n_samples,n_features_domain1,n_features_domain2,n_predictors,predictor_set,r2,adjusted_r2,pseudo_f,permutation_p,permutations,clr_distance_strategy,predictor,full_r2,reduced_r2,delta_r2,full_adj_r2,reduced_adj_r2,delta_adj_r2,baseline_adjusted_r2,delta_adjusted_r2_vs_base
model_summary,5,EUK↔ITS,CLR,0.05,primary,A,abiotic_base,20360658,84,4126,1286,3,"pH_KCl,N_pct,bio12now.100",0.19065654651891406,0.1603061670133734,6.281850494953716,0.001,999,direct_aitchison,,,,,,,,0.1603061670133734,0.0
predictor_effect,5,EUK↔ITS,CLR,0.05,primary,A,abiotic_base,20360658,84,4126,1286,3,"pH_KCl,N_pct,bio12now.100",0.19065654651891406,0.1603061670133734,6.281850494953716,0.001,999,direct_aitchison,pH_KCl,0.19065654651891406,0.07621040345588914,0.11444614306302492,0.1603061670133734,0.05340078378813329,0.10690538322524012,0.1603061670133734,0.0
predictor_effect,5,EUK↔ITS,CLR,0.05,primary,A,abiotic_base,20360658,84,4126,1286,3,"pH_KCl,N_pct,bio12now.100",0.19065654651891406,0.1603061670133734,6.281850494953716,0.001,999,direct_aitchison,bio12now.100,0.19065654651891406,0.1729868848519981,0.01766966166691597,0.1603061670133734,0.15256680793476352,0.007739359078609898,0.1603061670133734,0.0
predictor_effect,5,EUK↔ITS,CLR,0.05,primary,A,abiotic_base,20360658,84,4126,1286,3,"pH_KCl,N_pct,bio12now.100",0.19065654651891406,0.1603061670133734,6.281850494953716,0.001,999,direct_aitchison,N_pct,0.19065654651891406,0.1764229628626296,0.014233583656284465,0.1603061670133734,0.15608772737775634,0.004218439635617077,0.1603061670133734,0.0
model_summary,5,EUK↔ITS,CLR,0.05,primary,B,abiotic_plus_alpha,20360659,84,4126,1286,4,"pH_KCl,N_pct,bio12now.100,alpha",0.21211581904970345,0.1722229491281695,5.317136106450046,0.001,999,direct_aitchison,,,,,,,,0.1603061670133734,0.011916782114796076
predictor_effect,5,EUK↔ITS,CLR,0.05,primary,B,abiotic_plus_alpha,20360659,84,4126,1286,4,"pH_KCl,N_pct,bio12now.100,alpha",0.21211581904970345,0.1722229491281695,5.317136106450046,0.001,999,direct_aitchison,pH_KCl,0.21211581904970345,0.1197718296942708,0.09234398935543264,0.1722229491281695,0.08676327330780587,0.08545967582036362,0.1603061670133734,0.011916782114796076
predictor_effect,5,EUK↔ITS,CLR,0.05,primary,B,abiotic_plus_alpha,20360659,84,4126,1286,4,"pH_KCl,N_pct,bio12now.100,alpha",0.21211581904970345,0.1722229491281695,5.317136106450046,0.001,999,direct_aitchison,alpha,0.21211581904970345,0.19065654651891406,0.021459272530789386,0.1722229491281695,0.1603061670133734,0.011916782114796076,0.1603061670133734,0.011916782114796076
predictor_effect,5,EUK↔ITS,CLR,0.05,primary,B,abiotic_plus_alpha,20360659,84,4126,1286,4,"pH_KCl,N_pct,bio12now.100,alpha",0.21211581904970345,0.1722229491281695,5.317136106450046,0.001,999,direct_aitchison,bio12now.100,0.21211581904970345,0.19758973958177128,0.014526079467932163,0.1722229491281695,0.1674993548160877,0.0047235943120818025,0.1603061670133734,0.011916782114796076
predictor_effect,5,EUK↔ITS,CLR,0.05,primary,B,abiotic_plus_alpha,20360659,84,4126,1286,4,"pH_KCl,N_pct,bio12now.100,alpha",0.21211581904970345,0.1722229491281695,5.317136106450046,0.001,999,direct_aitchison,N_pct,0.21211581904970345,0.19888728178954285,0.0132285372601606,0.1722229491281695,0.16884555485665076,0.00337739427151873,0.1603061670133734,0.011916782114796076
model_summary,5,EUK↔ITS,CLR,0.05,primary,C,abiotic_plus_dark,20360660,84,4126,1286,4,"pH_KCl,N_pct,bio12now.100,dark",0.20580494057358079,0.16559253250135708,5.117946187255025,0.001,999,direct_aitchison,,,,,,,,0.1603061670133734,0.0052863654879836686
