record_type,combo_index,pair,branch,threshold,model_scope,hypothesis_id,hypothesis_name,seed,n_samples,n_features_domain1,n_features_domain2,n_predictors,predictor_set,r2,adjusted_r2,pseudo_f,permutation_p,permutations,predictor,full_r2,reduced_r2,delta_r2,full_adj_r2,reduced_adj_r2,delta_adj_r2,baseline_adjusted_r2,delta_adjusted_r2_vs_base
model_summary,7,AMF↔EUK,CLR,0.05,geography_sensitivity,A,abiotic_base,20401680,84,148,4126,5,"pH_KCl,N_pct,bio12now.100,lat,lon",0.2311870587736798,0.1819041779258388,4.691021604184642,0.001,999,,,,,,,,0.1819041779258388,0.0
model_summary,7,AMF↔EUK,CLR,0.05,geography_sensitivity,B,abiotic_plus_alpha,20401681,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,alpha,lat,lon",0.2548650480563823,0.1968025842685679,4.389497644946151,0.001,999,,,,,,,,0.1819041779258388,0.014898406342729
model_summary,7,AMF↔EUK,CLR,0.05,geography_sensitivity,C,abiotic_plus_dark,20401682,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,dark,lat,lon",0.2405228718511589,0.181342835891509,4.064256939876683,0.001,999,,,,,,,,0.1819041779258388,-0.0005613420343297
model_summary,7,AMF↔EUK,CLR,0.05,geography_sensitivity,D,abiotic_plus_pool,20401683,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,pool,lat,lon",0.2467545704554227,0.188060121400001,4.204052928794464,0.001,999,,,,,,,,0.1819041779258388,0.0061559434741622
model_summary,7,AMF↔EUK,CLR,0.05,geography_sensitivity,E,abiotic_plus_compl,20401684,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,compl,lat,lon",0.237524656169945,0.1781109930143564,3.997812010815267,0.001,999,,,,,,,,0.1819041779258388,-0.0037931849114823
model_summary,7,AMF↔EUK,CLR,0.05,geography_sensitivity,F,abiotic_plus_alpha_dark,20401685,84,148,4126,7,"pH_KCl,N_pct,bio12now.100,alpha,dark,lat,lon",0.2599794763877583,0.1918196913182097,3.8142649088825857,0.001,999,,,,,,,,0.1819041779258388,0.0099155133923709
model_summary,7,AMF↔EUK,CLR,0.05,geography_sensitivity,G,abiotic_plus_pool_compl,20401686,84,148,4126,7,"pH_KCl,N_pct,bio12now.100,pool,compl,lat,lon",0.2566111052823704,0.1881410755057466,3.747787259908269,0.001,999,,,,,,,,0.1819041779258388,0.0062368975799078
model_summary,7,AMF↔EUK,CLR,0.05,primary,A,abiotic_base,20400680,84,148,4126,3,"pH_KCl,N_pct,bio12now.100",0.2049931846826425,0.1751804291082415,6.876022720243358,0.001,999,,,,,,,,0.1751804291082415,0.0
model_summary,7,AMF↔EUK,CLR,0.05,primary,B,abiotic_plus_alpha,20400681,84,148,4126,4,"pH_KCl,N_pct,bio12now.100,alpha",0.2271007119850935,0.1879665708197817,5.803135196598982,0.001,999,,,,,,,,0.1751804291082415,0.0127861417115402
model_summary,7,AMF↔EUK,CLR,0.05,primary,C,abiotic_plus_dark,20400682,84,148,4126,4,"pH_KCl,N_pct,bio12now.100,dark",0.2156617832614366,0.1759484558316359,5.430463706236941,0.001,999,,,,,,,,0.1751804291082415,0.0007680267233944
model_summary,7,AMF↔EUK,CLR,0.05,primary,D,abiotic_plus_pool,20400683,84,148,4126,4,"pH_KCl,N_pct,bio12now.100,pool",0.2212030089714275,0.1817702499320062,5.609625457612244,0.001,999,,,,,,,,0.1751804291082415,0.0065898208237646
model_summary,7,AMF↔EUK,CLR,0.05,primary,E,abiotic_plus_compl,20400684,84,148,4126,4,"pH_KCl,N_pct,bio12now.100,compl",0.2101675355861262,0.1701760184006137,5.255302883639081,0.001,999,,,,,,,,0.1751804291082415,-0.0050044107076278
model_summary,7,AMF↔EUK,CLR,0.05,primary,F,abiotic_plus_alpha_dark,20400685,84,148,4126,5,"pH_KCl,N_pct,bio12now.100,alpha,dark",0.2335789087460472,0.1844493516143835,4.754345904647029,0.001,999,,,,,,,,0.1751804291082415,0.009268922506142
model_summary,7,AMF↔EUK,CLR,0.05,primary,G,abiotic_plus_pool_compl,20400686,84,148,4126,5,"pH_KCl,N_pct,bio12now.100,pool,compl",0.229183815194723,0.1797725212969489,4.63828807375245,0.001,999,,,,,,,,0.1751804291082415,0.0045920921887074
predictor_effect,7,AMF↔EUK,CLR,0.05,geography_sensitivity,A,abiotic_base,20401680,84,148,4126,5,"pH_KCl,N_pct,bio12now.100,lat,lon",0.2311870587736798,0.1819041779258388,4.691021604184642,0.001,999,pH_KCl,0.2311870587736798,0.1000568377584204,0.1311302210152594,0.1819041779258388,0.0544900953664417,0.127414082559397,0.1819041779258388,0.0
predictor_effect,7,AMF↔EUK,CLR,0.05,geography_sensitivity,A,abiotic_base,20401680,84,148,4126,5,"pH_KCl,N_pct,bio12now.100,lat,lon",0.2311870587736798,0.1819041779258388,4.691021604184642,0.001,999,bio12now.100,0.2311870587736798,0.210383091189376,0.0208039675843038,0.1819041779258388,0.1704024882116229,0.0115016897142158,0.1819041779258388,0.0
predictor_effect,7,AMF↔EUK,CLR,0.05,geography_sensitivity,A,abiotic_base,20401680,84,148,4126,5,"pH_KCl,N_pct,bio12now.100,lat,lon",0.2311870587736798,0.1819041779258388,4.691021604184642,0.001,999,lat,0.2311870587736798,0.2160818949077823,0.0151051638658975,0.1819041779258388,0.176389838953746,0.0055143389720927,0.1819041779258388,0.0
predictor_effect,7,AMF↔EUK,CLR,0.05,geography_sensitivity,A,abiotic_base,20401680,84,148,4126,5,"pH_KCl,N_pct,bio12now.100,lat,lon",0.2311870587736798,0.1819041779258388,4.691021604184642,0.001,999,lon,0.2311870587736798,0.2195311675873895,0.0116558911862902,0.1819041779258388,0.180013758351308,0.0018904195745307,0.1819041779258388,0.0
predictor_effect,7,AMF↔EUK,CLR,0.05,geography_sensitivity,A,abiotic_base,20401680,84,148,4126,5,"pH_KCl,N_pct,bio12now.100,lat,lon",0.2311870587736798,0.1819041779258388,4.691021604184642,0.001,999,N_pct,0.2311870587736798,0.2216711683840683,0.0095158903896115,0.1819041779258388,0.1822621136187047,-0.0003579356928659,0.1819041779258388,0.0
predictor_effect,7,AMF↔EUK,CLR,0.05,geography_sensitivity,B,abiotic_plus_alpha,20401681,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,alpha,lat,lon",0.2548650480563823,0.1968025842685679,4.389497644946151,0.001,999,pH_KCl,0.2548650480563823,0.1449734055274657,0.1098916425289165,0.1968025842685679,0.090164008445893,0.1066385758226748,0.1819041779258388,0.014898406342729
predictor_effect,7,AMF↔EUK,CLR,0.05,geography_sensitivity,B,abiotic_plus_alpha,20401681,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,alpha,lat,lon",0.2548650480563823,0.1968025842685679,4.389497644946151,0.001,999,alpha,0.2548650480563823,0.2311870587736798,0.0236779892827024,0.1968025842685679,0.1819041779258388,0.014898406342729,0.1819041779258388,0.014898406342729
predictor_effect,7,AMF↔EUK,CLR,0.05,geography_sensitivity,B,abiotic_plus_alpha,20401681,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,alpha,lat,lon",0.2548650480563823,0.1968025842685679,4.389497644946151,0.001,999,bio12now.100,0.2548650480563823,0.2367847750476357,0.0180802730087465,0.1968025842685679,0.1878607221660738,0.008941862102494,0.1819041779258388,0.014898406342729
predictor_effect,7,AMF↔EUK,CLR,0.05,geography_sensitivity,B,abiotic_plus_alpha,20401681,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,alpha,lat,lon",0.2548650480563823,0.1968025842685679,4.389497644946151,0.001,999,lat,0.2548650480563823,0.2383462519678081,0.0165187960885742,0.1968025842685679,0.1895222937606163,0.0072802905079515,0.1819041779258388,0.014898406342729
predictor_effect,7,AMF↔EUK,CLR,0.05,geography_sensitivity,B,abiotic_plus_alpha,20401681,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,alpha,lat,lon",0.2548650480563823,0.1968025842685679,4.389497644946151,0.001,999,lon,0.2548650480563823,0.2432890638998646,0.0115759841565177,0.1968025842685679,0.1947819526113944,0.0020206316571734,0.1819041779258388,0.014898406342729
predictor_effect,7,AMF↔EUK,CLR,0.05,geography_sensitivity,B,abiotic_plus_alpha,20401681,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,alpha,lat,lon",0.2548650480563823,0.1968025842685679,4.389497644946151,0.001,999,N_pct,0.2548650480563823,0.2459411005222017,0.0089239475341805,0.1968025842685679,0.1976039915813172,-0.0008014073127493,0.1819041779258388,0.014898406342729
predictor_effect,7,AMF↔EUK,CLR,0.05,geography_sensitivity,C,abiotic_plus_dark,20401682,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,dark,lat,lon",0.2405228718511589,0.181342835891509,4.064256939876683,0.001,999,pH_KCl,0.2405228718511589,0.1184044837691237,0.1221183880820352,0.181342835891509,0.0618919506774008,0.1194508852141081,0.1819041779258388,-0.0005613420343297
predictor_effect,7,AMF↔EUK,CLR,0.05,geography_sensitivity,C,abiotic_plus_dark,20401682,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,dark,lat,lon",0.2405228718511589,0.181342835891509,4.064256939876683,0.001,999,bio12now.100,0.2405228718511589,0.2219330310437691,0.0185898408073897,0.181342835891509,0.1720569432901646,0.0092858926013443,0.1819041779258388,-0.0005613420343297
predictor_effect,7,AMF↔EUK,CLR,0.05,geography_sensitivity,C,abiotic_plus_dark,20401682,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,dark,lat,lon",0.2405228718511589,0.181342835891509,4.064256939876683,0.001,999,lat,0.2405228718511589,0.226925267949553,0.0135976039016059,0.181342835891509,0.1773691953822166,0.0039736405092923,0.1819041779258388,-0.0005613420343297
predictor_effect,7,AMF↔EUK,CLR,0.05,geography_sensitivity,C,abiotic_plus_dark,20401682,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,dark,lat,lon",0.2405228718511589,0.181342835891509,4.064256939876683,0.001,999,lon,0.2405228718511589,0.2287263568316139,0.011796515019545,0.181342835891509,0.1792857386797942,0.0020570972117147,0.1819041779258388,-0.0005613420343297
predictor_effect,7,AMF↔EUK,CLR,0.05,geography_sensitivity,C,abiotic_plus_dark,20401682,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,dark,lat,lon",0.2405228718511589,0.181342835891509,4.064256939876683,0.001,999,dark,0.2405228718511589,0.2311870587736798,0.0093358130774791,0.181342835891509,0.1819041779258388,-0.0005613420343297,0.1819041779258388,-0.0005613420343297
predictor_effect,7,AMF↔EUK,CLR,0.05,geography_sensitivity,C,abiotic_plus_dark,20401682,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,dark,lat,lon",0.2405228718511589,0.181342835891509,4.064256939876683,0.001,999,N_pct,0.2405228718511589,0.2313785557652593,0.0091443160858996,0.181342835891509,0.1821079503655964,-0.0007651144740874,0.1819041779258388,-0.0005613420343297
predictor_effect,7,AMF↔EUK,CLR,0.05,geography_sensitivity,D,abiotic_plus_pool,20401683,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,pool,lat,lon",0.2467545704554227,0.188060121400001,4.204052928794464,0.001,999,pH_KCl,0.2467545704554227,0.1318836161049517,0.114870954350471,0.188060121400001,0.0762351299578332,0.1118249914421678,0.1819041779258388,0.0061559434741622
