hypothesis_id,hypothesis_name,mean_delta_adjusted_r2,mean_adjusted_r2,mean_r2,n_models,n_significant,prop_significant,overall_rank,summary_type
B,abiotic_plus_alpha,0.013192776902359562,0.21430243911862934,0.25216738181170745,8.0,8.0,1.0,1.0,hypothesis_mean
F,abiotic_plus_alpha_dark,0.010986368923826775,0.21209603114009654,0.25956012564972925,8.0,8.0,1.0,2.0,hypothesis_mean
D,abiotic_plus_pool,0.008699487507158137,0.2098091497234279,0.2478906364837446,8.0,8.0,1.0,3.0,hypothesis_mean
G,abiotic_plus_pool_compl,0.00775692066708545,0.20886658288335522,0.2565252224686953,8.0,8.0,1.0,4.0,hypothesis_mean
C,abiotic_plus_dark,0.0028621241043173123,0.20397178632058705,0.24233459179911296,8.0,8.0,1.0,5.0,hypothesis_mean
A,abiotic_base,0.0,0.20110966221626975,0.22998521659399493,8.0,8.0,1.0,6.0,hypothesis_mean
E,abiotic_plus_compl,-0.0037318452969595873,0.19737781691931008,0.23605840405572887,8.0,8.0,1.0,7.0,hypothesis_mean
C_vs_B,dark_vs_alpha,-0.01033065279804225,,,,,,,contrast
D_vs_B,pool_vs_alpha,-0.004493289395201425,,,,,,,contrast
E_vs_B,compl_vs_alpha,-0.01692462219931915,,,,,,,contrast
F_vs_B,alpha+dark_vs_alpha,-0.0022064079785327866,,,,,,,contrast
G_vs_D,pool+compl_vs_pool,-0.0009425668400726873,,,,,,,contrast
