record_type,combo_index,pair,branch,threshold,model_scope,hypothesis_id,hypothesis_name,seed,n_samples,n_features_domain1,n_features_domain2,n_predictors,predictor_set,r2,adjusted_r2,pseudo_f,permutation_p,permutations,predictor,full_r2,reduced_r2,delta_r2,full_adj_r2,reduced_adj_r2,delta_adj_r2,baseline_adjusted_r2,delta_adjusted_r2_vs_base
model_summary,7,AMF↔EUK,CLR,0.05,geography_sensitivity,A,abiotic_base,20401680,84,148,4126,5,"pH_KCl,N_pct,bio12now.100,lat,lon",0.23118705877367984,0.1819041779258388,4.691021604184642,0.001,999,,,,,,,,0.1819041779258388,0.0
model_summary,7,AMF↔EUK,CLR,0.05,geography_sensitivity,B,abiotic_plus_alpha,20401681,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,alpha,lat,lon",0.2548650480563823,0.1968025842685679,4.389497644946151,0.001,999,,,,,,,,0.1819041779258388,0.014898406342729098
model_summary,7,AMF↔EUK,CLR,0.05,geography_sensitivity,C,abiotic_plus_dark,20401682,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,dark,lat,lon",0.24052287185115895,0.181342835891509,4.064256939876683,0.001,999,,,,,,,,0.1819041779258388,-0.0005613420343297815
model_summary,7,AMF↔EUK,CLR,0.05,geography_sensitivity,D,abiotic_plus_pool,20401683,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,pool,lat,lon",0.2467545704554227,0.18806012140000106,4.204052928794464,0.001,999,,,,,,,,0.1819041779258388,0.006155943474162262
model_summary,7,AMF↔EUK,CLR,0.05,geography_sensitivity,E,abiotic_plus_compl,20401684,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,compl,lat,lon",0.237524656169945,0.1781109930143564,3.997812010815267,0.001,999,,,,,,,,0.1819041779258388,-0.0037931849114823946
model_summary,7,AMF↔EUK,CLR,0.05,geography_sensitivity,F,abiotic_plus_alpha_dark,20401685,84,148,4126,7,"pH_KCl,N_pct,bio12now.100,alpha,dark,lat,lon",0.2599794763877583,0.19181969131820975,3.8142649088825857,0.001,999,,,,,,,,0.1819041779258388,0.009915513392370956
model_summary,7,AMF↔EUK,CLR,0.05,geography_sensitivity,G,abiotic_plus_pool_compl,20401686,84,148,4126,7,"pH_KCl,N_pct,bio12now.100,pool,compl,lat,lon",0.2566111052823704,0.18814107550574666,3.7477872599082693,0.001,999,,,,,,,,0.1819041779258388,0.006236897579907863
model_summary,7,AMF↔EUK,CLR,0.05,primary,A,abiotic_base,20400680,84,148,4126,3,"pH_KCl,N_pct,bio12now.100",0.2049931846826425,0.1751804291082415,6.876022720243358,0.001,999,,,,,,,,0.1751804291082415,0.0
model_summary,7,AMF↔EUK,CLR,0.05,primary,B,abiotic_plus_alpha,20400681,84,148,4126,4,"pH_KCl,N_pct,bio12now.100,alpha",0.22710071198509352,0.18796657081978174,5.803135196598982,0.001,999,,,,,,,,0.1751804291082415,0.012786141711540244
model_summary,7,AMF↔EUK,CLR,0.05,primary,C,abiotic_plus_dark,20400682,84,148,4126,4,"pH_KCl,N_pct,bio12now.100,dark",0.2156617832614366,0.17594845583163599,5.430463706236941,0.001,999,,,,,,,,0.1751804291082415,0.0007680267233944882
model_summary,7,AMF↔EUK,CLR,0.05,primary,D,abiotic_plus_pool,20400683,84,148,4126,4,"pH_KCl,N_pct,bio12now.100,pool",0.22120300897142753,0.1817702499320062,5.6096254576122435,0.001,999,,,,,,,,0.1751804291082415,0.006589820823764692
model_summary,7,AMF↔EUK,CLR,0.05,primary,E,abiotic_plus_compl,20400684,84,148,4126,4,"pH_KCl,N_pct,bio12now.100,compl",0.21016753558612622,0.1701760184006137,5.255302883639081,0.001,999,,,,,,,,0.1751804291082415,-0.005004410707627804
model_summary,7,AMF↔EUK,CLR,0.05,primary,F,abiotic_plus_alpha_dark,20400685,84,148,4126,5,"pH_KCl,N_pct,bio12now.100,alpha,dark",0.23357890874604725,0.18444935161438358,4.754345904647029,0.001,999,,,,,,,,0.1751804291082415,0.009268922506142085
model_summary,7,AMF↔EUK,CLR,0.05,primary,G,abiotic_plus_pool_compl,20400686,84,148,4126,5,"pH_KCl,N_pct,bio12now.100,pool,compl",0.22918381519472308,0.17977252129694898,4.63828807375245,0.001,999,,,,,,,,0.1751804291082415,0.004592092188707486
model_summary,6,AMF↔EUK,presence/absence,0.05,geography_sensitivity,A,abiotic_base,20381669,84,148,4126,5,"pH_KCl,N_pct,bio12now.100,lat,lon",0.24031823573403832,0.19162068674263055,4.934914399417517,0.001,999,,,,,,,,0.19162068674263055,0.0
model_summary,6,AMF↔EUK,presence/absence,0.05,geography_sensitivity,B,abiotic_plus_alpha,20381670,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,alpha,lat,lon",0.2681253533081426,0.21109616005942644,4.701545612591646,0.001,999,,,,,,,,0.19162068674263055,0.019475473316795888
model_summary,6,AMF↔EUK,presence/absence,0.05,geography_sensitivity,C,abiotic_plus_dark,20381671,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,dark,lat,lon",0.25155833733701727,0.1932382077788628,4.31340498114246,0.001,999,,,,,,,,0.19162068674263055,0.00161752103623225
model_summary,6,AMF↔EUK,presence/absence,0.05,geography_sensitivity,D,abiotic_plus_pool,20381672,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,pool,lat,lon",0.2591410095829312,0.2014117376023804,4.488901395989138,0.001,999,,,,,,,,0.19162068674263055,0.00979105085974985
model_summary,6,AMF↔EUK,presence/absence,0.05,geography_sensitivity,E,abiotic_plus_compl,20381673,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,compl,lat,lon",0.24994360715944686,0.19149765447057254,4.276491282295856,0.001,999,,,,,,,,0.19162068674263055,-0.00012303227205801015
