record_type,combo_index,pair,branch,threshold,model_scope,hypothesis_id,hypothesis_name,seed,n_samples,n_features_domain1,n_features_domain2,n_predictors,predictor_set,r2,adjusted_r2,pseudo_f,permutation_p,permutations,predictor,full_r2,reduced_r2,delta_r2,full_adj_r2,reduced_adj_r2,delta_adj_r2,baseline_adjusted_r2,delta_adjusted_r2_vs_base,rank_type,mean_delta_adjusted_r2,mean_adjusted_r2,mean_r2,min_permutation_p,max_permutation_p
model_summary,7.0,AMF↔EUK,CLR,0.05,geography_sensitivity,B,abiotic_plus_alpha,20401681.0,84.0,148.0,4126.0,6.0,"pH_KCl,N_pct,bio12now.100,alpha,lat,lon",0.2548650480563823,0.1968025842685679,4.389497644946151,0.001,999.0,,,,,,,,0.1819041779258388,0.014898406342729098,best_per_pair_branch,,,,,
model_summary,7.0,AMF↔EUK,CLR,0.05,primary,B,abiotic_plus_alpha,20400681.0,84.0,148.0,4126.0,4.0,"pH_KCl,N_pct,bio12now.100,alpha",0.22710071198509352,0.18796657081978174,5.803135196598982,0.001,999.0,,,,,,,,0.1751804291082415,0.012786141711540244,best_per_pair_branch,,,,,
model_summary,6.0,AMF↔EUK,presence/absence,0.05,geography_sensitivity,B,abiotic_plus_alpha,20381670.0,84.0,148.0,4126.0,6.0,"pH_KCl,N_pct,bio12now.100,alpha,lat,lon",0.2681253533081426,0.21109616005942644,4.701545612591646,0.001,999.0,,,,,,,,0.19162068674263055,0.019475473316795888,best_per_pair_branch,,,,,
model_summary,6.0,AMF↔EUK,presence/absence,0.05,primary,B,abiotic_plus_alpha,20380670.0,84.0,148.0,4126.0,4.0,"pH_KCl,N_pct,bio12now.100,alpha",0.23706629738755924,0.1984367428249041,6.136915117751343,0.001,999.0,,,,,,,,0.18127701233342752,0.017159730491476566,best_per_pair_branch,,,,,
model_summary,3.0,AMF↔ITS,CLR,0.05,geography_sensitivity,B,abiotic_plus_alpha,20321637.0,84.0,148.0,1286.0,6.0,"pH_KCl,N_pct,bio12now.100,alpha,lat,lon",0.2660238084164581,0.20883085842293536,4.651339167617443,0.001,999.0,,,,,,,,0.19056908774404246,0.018261770678892897,best_per_pair_branch,,,,,
model_summary,3.0,AMF↔ITS,CLR,0.05,primary,B,abiotic_plus_alpha,20320637.0,84.0,148.0,1286.0,4.0,"pH_KCl,N_pct,bio12now.100,alpha",0.23750113313054155,0.19889359556753095,6.151677836042274,0.001,999.0,,,,,,,,0.1823889122611646,0.01650468330636634,best_per_pair_branch,,,,,
model_summary,2.0,AMF↔ITS,presence/absence,0.05,geography_sensitivity,B,abiotic_plus_alpha,20301626.0,84.0,148.0,1286.0,6.0,"pH_KCl,N_pct,bio12now.100,alpha,lat,lon",0.28627954198480354,0.23066496084076227,5.1475626732374735,0.001,999.0,,,,,,,,0.2087241589393508,0.021940801901411455,best_per_pair_branch,,,,,
model_summary,2.0,AMF↔ITS,presence/absence,0.05,primary,B,abiotic_plus_alpha,20300626.0,84.0,148.0,1286.0,4.0,"pH_KCl,N_pct,bio12now.100,alpha",0.24992394310788135,0.21194540858169808,6.580663162123288,0.001,999.0,,,,,,,,0.1929619611370178,0.01898344744468028,best_per_pair_branch,,,,,
model_summary,1.0,BAC↔ITS,CLR,0.05,geography_sensitivity,B,abiotic_plus_alpha,20281615.0,84.0,16561.0,1286.0,6.0,"pH_KCl,N_pct,bio12now.100,alpha,lat,lon",0.3332066113177461,0.2812486849269211,6.41300826386685,0.001,999.0,,,,,,,,0.2728490584324086,0.008399626494512535,best_per_pair_branch,,,,,
model_summary,1.0,BAC↔ITS,CLR,0.05,primary,B,abiotic_plus_alpha,20280615.0,84.0,16561.0,1286.0,4.0,"pH_KCl,N_pct,bio12now.100,alpha",0.308230203186166,0.2732038843601491,8.799959959172709,0.001,999.0,,,,,,,,0.26588052740573553,0.007323356954413551,best_per_pair_branch,,,,,
model_summary,0.0,BAC↔ITS,presence/absence,0.05,geography_sensitivity,B,abiotic_plus_alpha,20261604.0,84.0,16561.0,1286.0,6.0,"pH_KCl,N_pct,bio12now.100,alpha,lat,lon",0.3217772145033452,0.26892868576334605,6.08866930026387,0.001,999.0,,,,,,,,0.2575262917841342,0.011402393979211833,best_per_pair_branch,,,,,
model_summary,0.0,BAC↔ITS,presence/absence,0.05,primary,B,abiotic_plus_alpha,20260604.0,84.0,16561.0,1286.0,4.0,"pH_KCl,N_pct,bio12now.100,alpha",0.2844670988840342,0.24823758490347891,7.8518055482806295,0.001,999.0,,,,,,,,0.2393087252099756,0.008928859693503322,best_per_pair_branch,,,,,
