record_type,combo_index,pair,branch,threshold,model_scope,hypothesis_id,hypothesis_name,seed,n_samples,n_features_domain1,n_features_domain2,n_predictors,predictor_set,r2,adjusted_r2,pseudo_f,permutation_p,permutations,clr_distance_strategy,predictor,full_r2,reduced_r2,delta_r2,full_adj_r2,reduced_adj_r2,delta_adj_r2,baseline_adjusted_r2,delta_adjusted_r2_vs_base
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,A,abiotic_base,20441702,84,148,4126,5,"pH_KCl,N_pct,bio12now.100,lat,lon",0.220614073835953,0.1706534375433859,4.415757888751606,0.001,999,direct_aitchison,pH_KCl,0.220614073835953,0.0965766072688358,0.1240374665671171,0.1706534375433859,0.0508336506748527,0.1198197868685331,0.1706534375433859,0.0
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,A,abiotic_base,20441702,84,148,4126,5,"pH_KCl,N_pct,bio12now.100,lat,lon",0.220614073835953,0.1706534375433859,4.415757888751606,0.001,999,direct_aitchison,bio12now.100,0.220614073835953,0.1986123024923514,0.0220017713436015,0.1706534375433859,0.1580357102134831,0.0126177273299027,0.1706534375433859,0.0
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,A,abiotic_base,20441702,84,148,4126,5,"pH_KCl,N_pct,bio12now.100,lat,lon",0.220614073835953,0.1706534375433859,4.415757888751606,0.001,999,direct_aitchison,lat,0.220614073835953,0.2067628656028007,0.0138512082331522,0.1706534375433859,0.1665989600637021,0.0040544774796837,0.1706534375433859,0.0
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,A,abiotic_base,20441702,84,148,4126,5,"pH_KCl,N_pct,bio12now.100,lat,lon",0.220614073835953,0.1706534375433859,4.415757888751606,0.001,999,direct_aitchison,lon,0.220614073835953,0.2068062127361017,0.0138078610998512,0.1706534375433859,0.1666445019885626,0.0040089355548232,0.1706534375433859,0.0
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,A,abiotic_base,20441702,84,148,4126,5,"pH_KCl,N_pct,bio12now.100,lat,lon",0.220614073835953,0.1706534375433859,4.415757888751606,0.001,999,direct_aitchison,N_pct,0.220614073835953,0.2122567186947777,0.0083573551411753,0.1706534375433859,0.1723709829324879,-0.001717545389102,0.1706534375433859,0.0
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,B,abiotic_plus_alpha,20441703,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,alpha,lat,lon",0.2447108233399565,0.1858571212625505,4.157951236748135,0.001,999,direct_aitchison,pH_KCl,0.2447108233399565,0.1411681959079492,0.1035426274320072,0.1858571212625505,0.0861148751328177,0.0997422461297327,0.1706534375433859,0.0152036837191645
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,B,abiotic_plus_alpha,20441703,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,alpha,lat,lon",0.2447108233399565,0.1858571212625505,4.157951236748135,0.001,999,direct_aitchison,alpha,0.2447108233399565,0.220614073835953,0.0240967495040035,0.1858571212625505,0.1706534375433859,0.0152036837191645,0.1706534375433859,0.0152036837191645
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,B,abiotic_plus_alpha,20441703,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,alpha,lat,lon",0.2447108233399565,0.1858571212625505,4.157951236748135,0.001,999,direct_aitchison,bio12now.100,0.2447108233399565,0.2251583970301971,0.0195524263097593,0.1858571212625505,0.1754890635064918,0.0103680577560586,0.1706534375433859,0.0152036837191645
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,B,abiotic_plus_alpha,20441703,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,alpha,lat,lon",0.2447108233399565,0.1858571212625505,4.157951236748135,0.001,999,direct_aitchison,lat,0.2447108233399565,0.22953335552367,0.0151774678162864,0.1858571212625505,0.1801444680572387,0.0057126532053117,0.1706534375433859,0.0152036837191645
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,B,abiotic_plus_alpha,20441703,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,alpha,lat,lon",0.2447108233399565,0.1858571212625505,4.157951236748135,0.001,999,direct_aitchison,lon,0.2447108233399565,0.2311059255809465,0.0136048977590099,0.1858571212625505,0.1818178438874175,0.0040392773751329,0.1706534375433859,0.0152036837191645
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,B,abiotic_plus_alpha,20441703,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,alpha,lat,lon",0.2447108233399565,0.1858571212625505,4.157951236748135,0.001,999,direct_aitchison,N_pct,0.2447108233399565,0.2368355964525076,0.0078752268874489,0.1858571212625505,0.1879148013533094,-0.0020576800907589,0.1706534375433859,0.0152036837191645
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,C,abiotic_plus_dark,20441704,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,dark,lat,lon",0.2293134426598604,0.169259944685304,3.818486023195797,0.001,999,direct_aitchison,pH_KCl,0.2293134426598604,0.1148775072089608,0.1144359354508995,0.169259944685304,0.0581388858762019,0.111121058809102,0.1706534375433859,-0.0013934928580818
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,C,abiotic_plus_dark,20441704,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,dark,lat,lon",0.2293134426598604,0.169259944685304,3.818486023195797,0.001,999,direct_aitchison,bio12now.100,0.2293134426598604,0.209997962290523,0.0193154803693373,0.169259944685304,0.1593568060270949,0.0099031386582091,0.1706534375433859,-0.0013934928580818
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,C,abiotic_plus_dark,20441704,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,dark,lat,lon",0.2293134426598604,0.169259944685304,3.818486023195797,0.001,999,direct_aitchison,lon,0.2293134426598604,0.2154215344469173,0.013891908212943,0.169259944685304,0.1651280430653096,0.0041319016199944,0.1706534375433859,-0.0013934928580818
