pair,branch,Mantel,Mantel p,Mantel CI if available,Procrustes similarity,Procrustes CI if available,BAC-inclusive flag,AMF-centered flag,coupling_strength
BAC↔ITS,presence/absence,0.5972515497305896,0.001,"[0.513, 0.713]",0.568807680899146,"[0.241, 0.414]",True,False,0.5830296153148677
EUK↔ITS,presence/absence,0.4380918141808562,0.001,"[0.368, 0.588]",0.6629343315803914,"[0.154, 0.394]",False,False,0.5505130728806238
EUK↔ITS,CLR,0.4091389447949679,0.001,"[0.277, 0.693]",0.689726883552872,"[0.146, 0.361]",False,False,0.5494329141739199
AMF↔ITS,CLR,0.5559547299901196,0.001,"[0.339, 0.646]",0.4153291575921812,"[0.352, 0.556]",False,True,0.48564194379115044
AMF↔ITS,presence/absence,0.4599019531640635,0.001,"[0.391, 0.596]",0.4451878924988156,"[0.362, 0.552]",False,True,0.45254492283143954
AMF↔EUK,CLR,0.4784159985775476,0.001,"[0.323, 0.604]",0.4091926002297905,"[0.367, 0.549]",False,True,0.44380429940366906
BAC↔ITS,CLR,0.3161326568500998,0.001,"[0.179, 0.618]",0.5519487876546951,"[0.212, 0.424]",True,False,0.4340407222523974
BAC↔EUK,CLR,0.2619631693164172,0.001,"[0.220, 0.545]",0.5654762253483514,"[0.201, 0.411]",True,False,0.41371969733238434
AMF↔EUK,presence/absence,0.4470239741364112,0.001,"[0.313, 0.597]",0.374156238855148,"[0.357, 0.589]",False,True,0.4105901064957796
BAC↔EUK,presence/absence,0.2014037712714188,0.001,"[0.133, 0.407]",0.5501820680081391,"[0.225, 0.423]",True,False,0.37579291963977896
BAC↔AMF,presence/absence,0.3870894668996215,0.001,"[0.297, 0.513]",0.3451877708390781,"[0.445, 0.612]",True,True,0.3661386188693498
BAC↔AMF,CLR,0.264602722688988,0.001,"[0.095, 0.480]",0.3416919697931876,"[0.400, 0.609]",True,True,0.3031473462410878
