pair,branch,dbRDA adjusted R²,best environmental model,top predictor,pH contribution,geography sensitivity delta
BAC↔ITS,presence/absence,0.2646404896636699,geography_sensitivity,pH_KCl,0.1408596973445124,0.020767157468639885
BAC↔AMF,CLR,0.2622083692996951,geography_sensitivity,pH_KCl,0.153082290674888,0.008613755774957321
BAC↔ITS,CLR,0.2595638030617334,geography_sensitivity,pH_KCl,0.1408651441480792,0.01073706611878067
BAC↔EUK,presence/absence,0.2558902008392064,geography_sensitivity,pH_KCl,0.1459774629781368,0.014754057044306795
BAC↔AMF,presence/absence,0.2520419050963178,geography_sensitivity,pH_KCl,0.1407438679047516,0.01483870805508361
BAC↔EUK,CLR,0.244612089639336,geography_sensitivity,pH_KCl,0.1443803780942405,0.008962086359501104
AMF↔ITS,presence/absence,0.2245441119679169,geography_sensitivity,pH_KCl,0.1047738075432516,0.018676725783128095
EUK↔ITS,presence/absence,0.2220302171250237,geography_sensitivity,pH_KCl,0.1018123390220712,0.0218934527778388
AMF↔EUK,presence/absence,0.2055766102891452,geography_sensitivity,pH_KCl,0.1054737213533654,0.013516767516098399
AMF↔ITS,CLR,0.1888761961680657,geography_sensitivity,pH_KCl,0.0872469911055181,0.011015175309867703
EUK↔ITS,CLR,0.1776587763491131,geography_sensitivity,pH_KCl,0.0893156089707983,0.010163359518459203
AMF↔EUK,CLR,0.1768188133783441,geography_sensitivity,pH_KCl,0.1009293389215023,0.00882468991230509
