pair,branch,coupling strength,environmental explained variation,plant-diversity added variation,interpretation label
BAC↔ITS,presence/absence,0.5830296153148677,0.2646404896636699,0.0089288596935033,strongly coupled/environment structured
EUK↔ITS,presence/absence,0.5505130728806238,0.2220302171250237,0.0108274774892008,strongly coupled/environment structured + plant associated
EUK↔ITS,CLR,0.5494329141739199,0.1776587763491131,0.0133077774990671,strongly coupled/plant associated
AMF↔ITS,CLR,0.48564194379115044,0.1888761961680657,0.0179791905098292,weakly coupled but plant associated
AMF↔ITS,presence/absence,0.45254492283143954,0.2245441119679169,0.0189834474446802,weakly coupled but plant associated
AMF↔EUK,CLR,0.44380429940366906,0.1768188133783441,0.013334859663458,weakly coupled but plant associated
BAC↔ITS,CLR,0.4340407222523974,0.2595638030617334,0.0081642189952088,weakly plant associated
BAC↔EUK,CLR,0.41371969733238434,0.244612089639336,0.0064215585139403,weakly plant associated
AMF↔EUK,presence/absence,0.4105901064957796,0.2055766102891452,0.0171597304914767,weakly coupled but plant associated
BAC↔EUK,presence/absence,0.37579291963977896,0.2558902008392064,0.00541272163111,weakly plant associated
BAC↔AMF,presence/absence,0.3661386188693498,0.2520419050963178,0.0138766303949162,weakly coupled but plant associated
BAC↔AMF,CLR,0.3031473462410878,0.2622083692996951,0.0068674691595288,weakly plant associated
