pair,branch,best plant hypothesis,delta adjusted R² vs abiotic base,alpha effect,pool effect,dark effect,compl effect
AMF↔ITS,presence/absence,B:abiotic_plus_alpha,0.0189834474446802,0.0189834474446802,0.011576652444991,0.0029059357266392,-0.0028112100618269
AMF↔ITS,CLR,B:abiotic_plus_alpha,0.0179791905098292,0.0179791905098292,0.0107152221416085,0.0033696584918915,-0.0035522680705744
AMF↔EUK,presence/absence,B:abiotic_plus_alpha,0.0171597304914767,0.0171597304914767,0.0102143052631599,0.0026359285112126,-0.0030501936659118
BAC↔AMF,presence/absence,B:abiotic_plus_alpha,0.0138766303949162,0.0138766303949162,0.0082376122415009,0.001575370941333,-0.0031931566027216
AMF↔EUK,CLR,B:abiotic_plus_alpha,0.013334859663458,0.013334859663458,0.00578918807957,-0.0001681708462134,-0.0051162685881508
EUK↔ITS,CLR,F:abiotic_plus_alpha_dark,0.0133077774990671,0.011916782114796,0.0094551908237426,0.0052863654879836,-0.003859390971639
EUK↔ITS,presence/absence,B:abiotic_plus_alpha,0.0108274774892008,0.0108274774892008,0.0088206542361382,0.0038618993262307,-0.0045927314531361
BAC↔ITS,presence/absence,B:abiotic_plus_alpha,0.0089288596935033,0.0089288596935033,0.0074546081497585,0.0029334943776243,-0.0037874459502131
BAC↔ITS,CLR,B:abiotic_plus_alpha,0.0081642189952088,0.0081642189952088,0.0061889593347862,0.0024665017779724,-0.003689588856633
BAC↔AMF,CLR,B:abiotic_plus_alpha,0.0068674691595288,0.0068674691595288,0.0037996559774984,0.000120275769483,-0.0038621376258749
BAC↔EUK,CLR,B:abiotic_plus_alpha,0.0064215585139403,0.0064215585139403,0.0050513045026819,0.0019880046165837,-0.0040539169932362
BAC↔EUK,presence/absence,B:abiotic_plus_alpha,0.00541272163111,0.00541272163111,0.0029768467525638,0.0003429170734357,-0.0029982338265992
